# Deepfake & AI Impersonation Law Tracker
# Version: 2026.07.22
# As of: 2026-07-22
# License: CC BY 4.0, https://creativecommons.org/licenses/by/4.0/
# Citation: Vorp Labs, Deepfake & AI Impersonation Law Tracker (as of 2026-07-22), https://vorplabs.com/ai-regulatory-updates/deepfake-laws
# Source: https://vorplabs.com/ai-regulatory-updates/deepfake-laws
# Releases and checksums: https://vorplabs.com/datasets/deepfake-laws/manifest.json
anchor,level,jurisdiction,name,citation,kind_or_category,detail_level,status,status_detail,effective_date,effective_date_precision,key_dates,scope_or_obligations,penalties,enforcement_authority,private_right_of_action,litigation_status,source_urls,url
ca-ab-2655,state,California,AB 2655 (2024),AB 2655 (2024),election-deepfake,full,,,2024-09-17,day,,"Enacted text would require large online platforms to label or remove deceptive AI-generated election content. Companion bill to AB 2839. Like AB 2839, portions may be affected by ongoing federal court litigation; current enforceability depends on the latest court orders.",Civil penalties for platform non-compliance (subject to court orders).,,Platform-directed duties; individual claims are under AB 2839.,May be affected by the same federal court litigation challenging AB 2839. Which platform duties are currently enforceable depends on the most recent court orders; check the AB 2839 docket for status.,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202320240AB2655,https://vorplabs.com/ai-regulatory-updates/deepfake-laws#ca-ab-2655
tx-sb-751,state,Texas,"SB 751 (2019), Elec. Code 255.004","SB 751 (2019), Elec. Code 255.004",election-deepfake,full,,,2019-09-01,day,,First state deepfake election law. Prohibits creating or distributing a deepfake video intended to injure a candidate or influence an election within 30 days of an election.,Class A misdemeanor.,,Not an express private right; criminal enforcement.,,https://capitol.texas.gov/BillLookup/History.aspx?LegSess=86R&Bill=SB751,https://vorplabs.com/ai-regulatory-updates/deepfake-laws#tx-sb-751
mn-609-771,state,Minnesota,Minn. Stat. 609.771,Minn. Stat. 609.771,election-deepfake,full,,,2023-08-01,day,,Criminal prohibition on using deepfake technology to influence elections. Prohibits disseminating deepfake media depicting a candidate within 90 days of an election without disclosure.,"Tiered criminal penalties: up to 90 days or $1,000 in the base case; up to 364 days or $3,000 where there is intent to cause violence or bodily harm; up to five years or $10,000 for a repeat offense within five years. A convicted candidate forfeits the nomination or office.",,"The depicted individual, an injured candidate, the attorney general, or a county or city attorney may seek injunctive relief; the offense itself is criminal.",Challenged on First Amendment grounds. Current litigation status not independently confirmed as of 2026-07-10.,https://www.revisor.mn.gov/statutes/cite/609.771,https://vorplabs.com/ai-regulatory-updates/deepfake-laws#mn-609-771
wa-sb-5152,state,Washington,SB 5152 (2023),SB 5152 (2023),election-deepfake,full,,,2023-07-23,day,,Prohibits distribution of synthetic media depicting a candidate in a false manner in an election campaign without a disclosure label.,Injunctive relief; civil penalties. Candidates may seek damages.,,"Yes, candidates may seek injunctive relief and damages.",,https://apps.leg.wa.gov/billsummary/?BillNumber=5152&Year=2023,https://vorplabs.com/ai-regulatory-updates/deepfake-laws#wa-sb-5152
fl-hb-919,state,Florida,"HB 919 (2024), ch. 2024-126","HB 919 (2024), ch. 2024-126",election-deepfake,full,,,2024-07-01,day,,Requires AI-generated content in political advertisements and electioneering communications to include a specified disclaimer.,"Criminal and civil penalties for missing disclaimers, with a complaint process and expedited hearings.",,A person may file a complaint under the act's expedited procedures; candidates depicted may seek relief.,,https://www.flsenate.gov/Session/Bill/2024/919,https://vorplabs.com/ai-regulatory-updates/deepfake-laws#fl-hb-919
ky-sb-4,state,Kentucky,"SB 4 (2025), 2025 Ky. Acts ch. 66; KRS 117.322","SB 4 (2025), 2025 Ky. Acts ch. 66; KRS 117.322",election-deepfake,full,,,2025-03-24,day,,"Creates a cause of action against the sponsor of an electioneering communication that uses synthetic media to alter a candidate's appearance, action, or speech without a clear and conspicuous disclosure. The act also establishes AI governance requirements for Kentucky state government; the election provisions amend KRS 117.001 and add KRS 117.322.","No standalone criminal offense for the synthetic media itself. Failure to comply with a court-ordered disclosure is subject to the campaign finance penalties in KRS 121.990(3). Media outlets and their advertising representatives are generally not liable, with limited exceptions.",,"Yes; an affected candidate may seek injunctive or other equitable relief requiring the disclosure, with attorney fees and costs available to the prevailing party, on clear and convincing evidence.",,https://apps.legislature.ky.gov/record/25RS/sb4.html; https://apps.legislature.ky.gov/law/acts/25RS/documents/0066.pdf; https://apps.legislature.ky.gov/law/statutes/statute.aspx?id=57958,https://vorplabs.com/ai-regulatory-updates/deepfake-laws#ky-sb-4
la-hb-459,state,Louisiana,"HB 459 (2026), Act 806; La. R.S. 18:1463, 18:1483","HB 459 (2026), Act 806; La. R.S. 18:1463, 18:1483",election-deepfake,full,,,2026-08-01,day,,"Requires a clear and understandable disclosure on electioneering communications that use artificial intelligence to create, alter, or digitally manipulate the image, likeness, or voice of a candidate or of an elected official subject to recall so that it falsely appears to a reasonable observer to be an authentic record of actual speech or conduct. Signed June 9, 2026; the tracker previously miscited the unrelated 2025 HB 459.","Criminal: violating R.S. 18:1463 with intent to injure the reputation of a candidate or elected official subject to recall, or to otherwise deceive a voter, carries a fine of up to $2,000, imprisonment for up to two years with or without hard labor, or both. Media entities that merely broadcast paid content over which they have no editorial control are exempt.",,No express private right of action in the AI disclosure provisions; enforcement is criminal.,,https://www.legis.la.gov/legis/BillInfo.aspx?s=26rs&b=HB459&sbi=y; https://www.legis.la.gov/Legis/ViewDocument.aspx?d=1481244,https://vorplabs.com/ai-regulatory-updates/deepfake-laws#la-hb-459
me-ld-517,state,Maine,"LD 517 (132nd Leg.), P.L. 2026 ch. 593; 21-A M.R.S. 1014(5-C)","LD 517 (132nd Leg.), P.L. 2026 ch. 593; 21-A M.R.S. 1014(5-C)",election-deepfake,full,,,2026-07-29,day,,"Requires campaign advertising that contains synthetic media of a candidate, manipulated or AI-generated content likely to deceive a reasonable person about the candidate's appearance, speech, or conduct, to carry the disclosure 'THIS COMMUNICATION CONTAINS AUDIO, VIDEO AND/OR IMAGES THAT HAVE BEEN MANIPULATED OR ALTERED', with satire and parody excluded. Carried over from the 2025 session and signed March 23, 2026.","Civil penalties assessed by the Commission on Governmental Ethics and Election Practices: up to 500% of the expenditure amount for a synthetic-media disclosure violation, versus the 100% cap for other Section 1014 violations. The Attorney General may seek injunctive relief and recover costs and fees.",,No new private right of action; the law does not limit other causes of action a person may have.,,https://legislature.maine.gov/legis/bills/display_ps.asp?LD=517&snum=132; https://legislature.maine.gov/legis/bills/getPDF.asp?paper=HP0335&item=3&snum=132,https://vorplabs.com/ai-regulatory-updates/deepfake-laws#me-ld-517
md-sb-141,state,Maryland,"SB 141 (2026), ch. 444; Md. Elec. Law 16-905","SB 141 (2026), ch. 444; Md. Elec. Law 16-905",election-deepfake,full,,,2026-06-01,day,,"Prohibits knowingly, or with reckless disregard, creating, using, or disseminating a deepfake to produce materially false information with intent to influence voting, misrepresent election facts, or induce petition signatures, with satire, parody, broadcaster, and Section 230 exemptions. Also directs the State Administrator of Elections to correct credible reports of election misinformation and authorizes injunctions and subpoenas in limited cases. Approved May 12, 2026; the tracker previously miscited the withdrawn 2025 SB 141.","Misdemeanor: a fine of up to $5,000, imprisonment for up to five years, or both. The State Board of Elections may also bring a civil action to recover correction costs, damages, court costs, and attorney fees on clear and convincing evidence.",,"No general private right of action; enforcement runs through the State Administrator, the State Board, and criminal prosecution.",,https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0141?ys=2026RS; https://mgaleg.maryland.gov/2026RS/Chapters_noln/CH_444_sb0141e.pdf,https://vorplabs.com/ai-regulatory-updates/deepfake-laws#md-sb-141
pa-sb-649,state,Pennsylvania,"SB 649 (2025), Act 35; 18 Pa.C.S. 4101.1","SB 649 (2025), Act 35; 18 Pa.C.S. 4101.1",digital-replica,full,,,2025-09-05,day,,"General digital-forgery offense, not an election-specific statute: criminalizes creating and distributing as genuine a forged digital likeness, a computer-generated visual or audio representation of an identifiable individual that materially misrepresents their appearance, speech, or behavior and is likely to deceive a reasonable person, made without consent and with intent to defraud or injure. Deceptive political deepfakes can fall within it only when those general elements are met.","First-degree misdemeanor generally; third-degree felony when committed through a scheme to defraud, coerce, or commit theft. Affirmative defense where the defendant took reasonable action to put viewers or listeners on notice that the content is not genuine; exceptions for constitutionally protected activity, law enforcement duties, and technology providers.",,No; criminal enforcement only.,,https://www.palegis.us/legislation/bills/2025/sb649; https://www.palegis.us/statutes/unconsolidated/law-information?actNum=35&sessInd=0&sessYr=2025,https://vorplabs.com/ai-regulatory-updates/deepfake-laws#pa-sb-649
al-election-deepfake,state,Alabama,HB 172 (2024),HB 172 (2024),election-deepfake,index,,,,,,"Criminalizes distributing materially deceptive media with intent to influence an upcoming election, subject to statutory exceptions, and permits permanent injunctive relief.",,,"Yes, limited to permanent injunctive relief for statutorily authorized plaintiffs.",,https://alison.legislature.state.al.us/files/pdf/SearchableInstruments/2024RS/HB172-enr.pdf; https://alison.legislature.state.al.us/ActDetail?ID=30920,https://vorplabs.com/ai-regulatory-updates/deepfake-laws#al-election-deepfake
az-election-deepfake,state,Arizona,"SB 1359 (2024), 2024 Ariz. Sess. Laws ch. 199; A.R.S. 16-1023","SB 1359 (2024), 2024 Ariz. Sess. Laws ch. 199; A.R.S. 16-1023",election-deepfake,full,,,2024-09-14,day,,"During the 90 days before an election, a creator may not knowingly create and distribute a deceptive and fraudulent deepfake of a candidate on the ballot unless the media conspicuously discloses that it contains AI-generated content.",Civil penalty under A.R.S. 16-937(B) for each day the undisclosed deepfake is distributed.,,No express private cause of action.,,https://www.azleg.gov/legtext/56leg/2r/laws/0199.htm; https://www.azleg.gov/legtext/56leg/2R/bills/SB1359P.htm,https://vorplabs.com/ai-regulatory-updates/deepfake-laws#az-election-deepfake
co-election-deepfake,state,Colorado,HB 24-1147 (2024); C.R.S. 1-46-101 to 1-46-106,HB 24-1147 (2024); C.R.S. 1-46-101 to 1-46-106,election-deepfake,full,,,2024-07-01,day,,Prohibits knowingly or recklessly distributing an undisclosed or improperly disclosed deepfake communication about a candidate during the 60 days before a primary or 90 days before a general election.,"Administrative civil penalty of at least $100 per violation for unpaid advertising, or at least 10% of the amount paid for paid advertising.",,"Yes; a depicted candidate may seek an injunction, damages including punitive damages, fees, and costs.",,https://leg.colorado.gov/bills/hb24-1147,https://vorplabs.com/ai-regulatory-updates/deepfake-laws#co-election-deepfake
hi-election-deepfake,state,Hawaii,"SB 2687 (2024); HRS ch. 11, part XIII","SB 2687 (2024); HRS ch. 11, part XIII",election-deepfake,index,,,,,,"From the first working day of February in even-numbered years through the general election, prohibits reckless distribution of materially deceptive media that risks harming a candidate or changing voting behavior, subject to exceptions.",,,"Yes; a depicted individual or qualifying voter organization may obtain damages and equitable relief, and violating a court order can draw a civil fine of up to $1,000 per day.",,https://data.capitol.hawaii.gov/sessions/session2024/bills/SB2687_CD1_.HTM; https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=SB&billnumber=2687&year=2024,https://vorplabs.com/ai-regulatory-updates/deepfake-laws#hi-election-deepfake
id-election-deepfake,state,Idaho,HB 734 (2024),HB 734 (2024),election-deepfake,index,,,,,,Election deepfake regulation.,,,,,https://legislature.idaho.gov/sessioninfo/2024/legislation/H0734/,https://vorplabs.com/ai-regulatory-updates/deepfake-laws#id-election-deepfake
in-election-deepfake,state,Indiana,"HB 1133 (2024), P.L. 81-2024; Ind. Code 3-9-8","HB 1133 (2024), P.L. 81-2024; Ind. Code 3-9-8",election-deepfake,full,,,2024-03-12,day,,"Requires a prescribed disclaimer on campaign communications containing fabricated media that depicts a candidate, including materially altered recordings and lifelike AI imitations.","No standalone criminal fine; a depicted candidate may seek actual damages, injunctive relief, attorney fees, and costs against responsible sponsors or payors.",,Yes.,,https://iga.in.gov/legislative/2024/bills/house/1133/details,https://vorplabs.com/ai-regulatory-updates/deepfake-laws#in-election-deepfake
ms-election-deepfake,state,Mississippi,SB 2577 (2024),SB 2577 (2024),election-deepfake,index,,,2024-07-01,day,,"Prohibits knowingly disseminating a nonconsensual digitization within 90 days of an election when intended to injure a candidate, influence an election result, or deter voting.",,,"Yes, for statutorily authorized injunctive relief.",,https://billstatus.ls.state.ms.us/documents/2024/html/SB/2500-2599/SB2577PS.htm,https://vorplabs.com/ai-regulatory-updates/deepfake-laws#ms-election-deepfake
nm-election-deepfake,state,New Mexico,"HB 182 (2024), 2024 N.M. Laws ch. 57","HB 182 (2024), 2024 N.M. Laws ch. 57",election-deepfake,index,,,2024-03-05,day,,Requires disclaimers on AI-generated campaign advertisements and prohibits knowing distribution of materially deceptive election media under the Campaign Reporting Act.,,,"Yes, at least for statutory injunctive relief.",,https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legno=182&legtype=B&year=24,https://vorplabs.com/ai-regulatory-updates/deepfake-laws#nm-election-deepfake
ny-election-deepfake,state,New York,"S.8305-C/A.8805-C Part MM (2024), L. 2024 ch. 58; N.Y. Election Law 14-106(5)","S.8305-C/A.8805-C Part MM (2024), L. 2024 ch. 58; N.Y. Election Law 14-106(5)",election-deepfake,full,,,2024-04-20,day,,"Requires disclosure when a political communication contains materially deceptive media and the distributor or publisher has actual knowledge of the deception, with satire, news, broadcaster, platform, and federal-law exceptions.",No standalone monetary fine in subdivision 5; enforcement is principally expedited injunctive relief with recoverable court costs and attorney fees.,,Yes; a candidate whose voice or likeness appears in the media may bring the expedited action.,,https://www.nysenate.gov/legislation/laws/ELN/14-106,https://vorplabs.com/ai-regulatory-updates/deepfake-laws#ny-election-deepfake
or-election-deepfake,state,Oregon,"SB 1571 (2024), 2024 Or. Laws ch. 62; ORS ch. 260","SB 1571 (2024), 2024 Or. Laws ch. 62; ORS ch. 260",election-deepfake,full,,,2024-03-27,day,,"Requires campaign communications containing synthetic media to disclose that the image, audio, or video has been manipulated, with platform, news, broadcaster, periodical, satire, and parody exceptions.","Court-imposed civil penalty of up to $10,000 per violation; the statutory enforcement remedy is exclusive.",,No general private right; enforcement is assigned to the Secretary of State or Attorney General.,,https://olis.oregonlegislature.gov/liz/2024R1/Measures/Overview/SB1571,https://vorplabs.com/ai-regulatory-updates/deepfake-laws#or-election-deepfake
ut-election-deepfake,state,Utah,SB 131 (2024); Utah Code 20A-11-1104 and 76-3-203.18,SB 131 (2024); Utah Code 20A-11-1104 and 76-3-203.18,election-deepfake,full,,,2024-05-01,day,,"Requires audible, visual, and digital-provenance disclosures for paid audio or visual communications intended to influence voting on a candidate or ballot proposition when the communication contains synthetic media. The disclosure duties took effect May 1, 2024; the sentencing aggravator took effect July 1, 2024.","Civil penalty of up to $1,000 per violation; knowing use of AI to facilitate a crime is a sentencing aggravator under 76-3-203.18, effective July 1, 2024.",,Yes; the statute permits a civil action to enforce the disclosure section.,,https://le.utah.gov/~2024/bills/sbillenr/SB0131.pdf; https://le.utah.gov/~2024/bills/static/SB0131.html,https://vorplabs.com/ai-regulatory-updates/deepfake-laws#ut-election-deepfake
wi-election-deepfake,state,Wisconsin,"AB 664 (2024), 2023 Wis. Act 123; Wis. Stat. 11.1303","AB 664 (2024), 2023 Wis. Act 123; Wis. Stat. 11.1303",election-deepfake,index,,,2024-03-23,day,,Requires a prescribed disclosure when a political communication sponsored by a covered person or committee contains synthetic media.,,,,,https://docs.legis.wisconsin.gov/2023/proposals/ab664,https://vorplabs.com/ai-regulatory-updates/deepfake-laws#wi-election-deepfake
mi-election-deepfake,state,Michigan,"HB 5141 (2023), Public Act 263 of 2023; MCL 169.247","HB 5141 (2023), Public Act 263 of 2023; MCL 169.247",election-deepfake,index,,,,,,"Requires disclosures for qualifying political advertisements created in whole or substantial part using generative AI, as part of Michigan's 2023 multi-bill election-deepfake package (HBs 5141 to 5145).",,,,,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2023-HB-5141,https://vorplabs.com/ai-regulatory-updates/deepfake-laws#mi-election-deepfake
il-election-deepfake,state,Illinois,"HB 4624 (2024); 10 ILCS 5/29-4(b), 5/29-18(a)","HB 4624 (2024); 10 ILCS 5/29-4(b), 5/29-18(a)",election-deepfake,index,,,,,,"Treats AI-generated digital replicas and deceptive government-style social-media content as election deception or forgery when reasonably likely to prevent or dissuade registering, voting, or supporting a candidate or public question; not a general political-ad disclosure law.",Conduct satisfying 10 ILCS 5/29-4 is a Class 4 felony.,,"Only through the existing 10 ILCS 5/29-18 conspiracy liability framework, not a standalone deepfake cause of action.",,https://www.ilga.gov/ftp/legislation/103/HB/10300HB4624.htm,https://vorplabs.com/ai-regulatory-updates/deepfake-laws#il-election-deepfake
nj-election-deepfake,state,New Jersey,"A3540, P.L. 2025, c. 40; N.J. Stat. 2C:21-17.7 to 2C:21-17.8","A3540, P.L. 2025, c. 40; N.J. Stat. 2C:21-17.7 to 2C:21-17.8",election-deepfake,index,,,,,,"General criminal and civil liability for creating or disseminating deceptive audio or visual media for specified unlawful purposes. The statute is broader than elections and is not a dedicated pre-election deepfake rule, but it reaches deceptive election media used for covered unlawful purposes.",,,"Yes, under the civil-remedy section, 2C:21-17.8.",,https://pub.njleg.state.nj.us/Bills/2024/AL25/40_.PDF,https://vorplabs.com/ai-regulatory-updates/deepfake-laws#nj-election-deepfake
nh-election-deepfake,state,New Hampshire,"HB 1596 (2024), 2024 N.H. Laws ch. 345; RSA 664:14-c","HB 1596 (2024), 2024 N.H. Laws ch. 345; RSA 664:14-c",election-deepfake,full,,,2024-08-01,day,,"During the 90 days before an election, bars distributing an AI-generated deepfake of a candidate, election official, or party on a state or local ballot when the distributor knew or should have known it was a deepfake, unless the required disclosure is included.",Primarily equitable and civil relief rather than a standalone administrative fine.,,"Yes; a depicted candidate or election official may seek injunctive or equitable relief and damages against the sponsor, with fees and costs available.",,https://gc.nh.gov/bill_status/legacy/bs2016/billText.aspx?id=1392&sy=2024&txtFormat=html,https://vorplabs.com/ai-regulatory-updates/deepfake-laws#nh-election-deepfake
tx-ncii-21-165,state,Texas,Penal Code 21.165,Penal Code 21.165,synthetic-ncii,full,,,,,,Criminalizes creation and distribution of AI-generated non-consensual intimate images (synthetic sexual content).,"State jail felony (up to two years, $10,000 fine).",,,,https://statutes.capitol.texas.gov/Docs/PE/htm/PE.21.htm,https://vorplabs.com/ai-regulatory-updates/deepfake-laws#tx-ncii-21-165
de-ncii-ch-78,state,Delaware,10 Del. C. ch. 78,10 Del. C. ch. 78,synthetic-ncii,full,,,,,,"Civil remedies for victims of non-consensual intimate images, including AI-generated intimate images.",Civil liability; damages and injunctive relief.,,Yes.,,https://delcode.delaware.gov/title10/c078/index.html,https://vorplabs.com/ai-regulatory-updates/deepfake-laws#de-ncii-ch-78
mt-ncii-45-5-640,state,Montana,45-5-640 MCA,45-5-640 MCA,synthetic-ncii,full,,,,,,"Criminalizes knowingly or purposely disclosing explicit synthetic media, deepfake intimate imagery of an identifiable individual created or altered with AI, without consent, including threats to disclose for money or other consideration.","First offense: fine up to $1,000, up to one year in county jail, or both. Second or subsequent offense: fine up to $10,000, up to five years in state prison, or both; up to ten years where the depicted person is under 18.",,,,https://mca.legmt.gov/bills/mca/title_0450/chapter_0050/part_0060/section_0400/0450-0050-0060-0400.html,https://vorplabs.com/ai-regulatory-updates/deepfake-laws#mt-ncii-45-5-640
ca-ncii-1708-86,state,California,Civ. Code 1708.86,Civ. Code 1708.86,synthetic-ncii,full,,,,,,Civil liability for distribution of sexually explicit deepfake images or recordings created without consent.,"Civil damages, including economic and non-economic damages, punitive damages, and attorney fees.",,Yes.,,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?sectionNum=1708.86.&lawCode=CIV,https://vorplabs.com/ai-regulatory-updates/deepfake-laws#ca-ncii-1708-86
tn-elvis-act,state,Tennessee,"ELVIS Act, Tenn. Code Ann. 47-25-1701 et seq.","ELVIS Act, Tenn. Code Ann. 47-25-1701 et seq.",digital-replica,full,,,2024-07-01,day,,Extends Tennessee's right of publicity to cover AI-generated replicas of voice and likeness. Protects against unauthorized use of a person's voice or visual likeness through AI or other technology.,"Civil liability: actual damages or profits, injunctive relief, attorney fees. Statutory damages available.",,Yes.,,https://wapp.capitol.tn.gov/apps/BillInfo/Default.aspx?BillNumber=HB2091&GA=113,https://vorplabs.com/ai-regulatory-updates/deepfake-laws#tn-elvis-act
