# Deepfake & AI Impersonation Law Tracker
# Version: 2026.07.10
# As of: 2026-07-10
# License: CC BY 4.0 — https://creativecommons.org/licenses/by/4.0/
# Citation: Vorp Labs, Deepfake & AI Impersonation Law Tracker (as of 2026-07-10), https://vorplabs.com/ai-regulatory-updates/deepfake-laws
# Source: https://vorplabs.com/ai-regulatory-updates/deepfake-laws
# Releases and checksums: https://vorplabs.com/datasets/deepfake-laws/manifest.json
anchor,level,jurisdiction,name,citation,kind_or_category,detail_level,status,status_detail,effective_date,effective_date_precision,key_dates,scope_or_obligations,penalties,enforcement_authority,private_right_of_action,litigation_status,source_urls,url
ca-ab-2655,state,California,AB 2655 (2024),AB 2655 (2024),election-deepfake,full,,,2024-09-17,day,,"Enacted text would require large online platforms to label or remove deceptive AI-generated election content. Companion bill to AB 2839. Like AB 2839, portions may be affected by ongoing federal court litigation; current enforceability depends on the latest court orders.",Civil penalties for platform non-compliance (subject to court orders).,,Platform-directed duties; individual claims are under AB 2839.,May be affected by the same federal court litigation challenging AB 2839. Which platform duties are currently enforceable depends on the most recent court orders; check the AB 2839 docket for status.,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202320240AB2655,https://vorplabs.com/ai-regulatory-updates/deepfake-laws#ca-ab-2655
tx-sb-751,state,Texas,SB 751 (2019) — Elec. Code 255.004,SB 751 (2019) — Elec. Code 255.004,election-deepfake,full,,,2019-09-01,day,,First state deepfake election law. Prohibits creating or distributing a deepfake video intended to injure a candidate or influence an election within 30 days of an election.,Class A misdemeanor.,,Not an express private right; criminal enforcement.,,https://capitol.texas.gov/BillLookup/History.aspx?LegSess=86R&Bill=SB751,https://vorplabs.com/ai-regulatory-updates/deepfake-laws#tx-sb-751
mn-609-771,state,Minnesota,Minn. Stat. 609.771,Minn. Stat. 609.771,election-deepfake,full,,,2023-08-01,day,,Criminal prohibition on using deepfake technology to influence elections. Prohibits disseminating deepfake media depicting a candidate within 90 days of an election without disclosure.,Gross misdemeanor.,,No express private right; criminal statute.,Challenged on First Amendment grounds. Current litigation status not independently confirmed as of 2026-07-10.,https://www.revisor.mn.gov/statutes/cite/609.771,https://vorplabs.com/ai-regulatory-updates/deepfake-laws#mn-609-771
wa-sb-5152,state,Washington,SB 5152 (2023),SB 5152 (2023),election-deepfake,full,,,2023-07-23,day,,Prohibits distribution of synthetic media depicting a candidate in a false manner in an election campaign without a disclosure label.,Injunctive relief; civil penalties. Candidates may seek damages.,,Yes — candidates may seek injunctive relief and damages.,,https://apps.leg.wa.gov/billsummary/?BillNumber=5152&Year=2023,https://vorplabs.com/ai-regulatory-updates/deepfake-laws#wa-sb-5152
fl-hb-919,state,Florida,HB 919 (2024),HB 919 (2024),election-deepfake,full,,,2024-07-01,day,,Requires AI-generated content in political advertisements to include a prominent disclosure.,Civil violation. Platform and advertiser liability for non-disclosure.,,Candidates depicted may seek injunctive relief.,,https://www.flsenate.gov/Session/Bill/2024/919,https://vorplabs.com/ai-regulatory-updates/deepfake-laws#fl-hb-919
ky-sb-4,state,Kentucky,SB 4 (2025),SB 4 (2025),election-deepfake,full,,,2025,year,,Prohibits use of AI-generated deepfakes in election communications without disclosure.,Penalty details pending code-level verification.,,,,https://apps.legislature.ky.gov/record/25RS/sb4.html,https://vorplabs.com/ai-regulatory-updates/deepfake-laws#ky-sb-4
la-hb-459,state,Louisiana,HB 459 (2025),HB 459 (2025),election-deepfake,full,,,2025,year,,Regulates AI-generated content in election communications.,Penalty details pending code-level verification.,,,,https://legis.la.gov/legis/BillInfo.aspx?s=25RS&b=HB459,https://vorplabs.com/ai-regulatory-updates/deepfake-laws#la-hb-459
me-ld-517,state,Maine,LD 517 (2025),LD 517 (2025),election-deepfake,full,,,2025,year,,Prohibits AI-generated deepfakes in election contexts.,Penalty details pending code-level verification.,,,,https://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280091725,https://vorplabs.com/ai-regulatory-updates/deepfake-laws#me-ld-517
md-sb-141,state,Maryland,SB 141 (2025),SB 141 (2025),election-deepfake,full,,,2025,year,,Regulates AI-generated content in election communications.,Penalty details pending code-level verification.,,,,https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/SB0141?ys=2025RS,https://vorplabs.com/ai-regulatory-updates/deepfake-laws#md-sb-141
pa-sb-649,state,Pennsylvania,SB 649 (2025),SB 649 (2025),election-deepfake,full,,,2025,year,,Regulates AI-generated content in election communications.,Penalty details pending code-level verification.,,,,https://www.legis.state.pa.us/cfdocs/billinfo/billinfo.cfm?syear=2025&sind=0&body=S&type=B&bn=649,https://vorplabs.com/ai-regulatory-updates/deepfake-laws#pa-sb-649
al-election-deepfake,state,Alabama,HB 172 (2024),HB 172 (2024),election-deepfake,index,,,,,,Election deepfake disclosure requirement.,,,,,https://alison.legislature.state.al.us/ActDetail?ID=30920,https://vorplabs.com/ai-regulatory-updates/deepfake-laws#al-election-deepfake
az-election-deepfake,state,Arizona,SB 1359 (2024),SB 1359 (2024),election-deepfake,index,,,,,,Election deepfake regulation.,,,,,https://www.azleg.gov/legtext/56leg/2R/bills/SB1359P.htm,https://vorplabs.com/ai-regulatory-updates/deepfake-laws#az-election-deepfake
co-election-deepfake,state,Colorado,HB 24-1147 (2024),HB 24-1147 (2024),election-deepfake,index,,,,,,Election deepfake disclosure requirement.,,,,,https://leg.colorado.gov/bills/hb24-1147,https://vorplabs.com/ai-regulatory-updates/deepfake-laws#co-election-deepfake
hi-election-deepfake,state,Hawaii,SB 2687 (2024),SB 2687 (2024),election-deepfake,index,,,,,,Election deepfake regulation.,,,,,https://www.capitol.hawaii.gov/session/measure_indiv.aspx?billtype=SB&billnumber=2687&year=2024,https://vorplabs.com/ai-regulatory-updates/deepfake-laws#hi-election-deepfake
id-election-deepfake,state,Idaho,HB 734 (2024),HB 734 (2024),election-deepfake,index,,,,,,Election deepfake regulation.,,,,,https://legislature.idaho.gov/sessioninfo/2024/legislation/H0734/,https://vorplabs.com/ai-regulatory-updates/deepfake-laws#id-election-deepfake
in-election-deepfake,state,Indiana,SEA 114 (2024),SEA 114 (2024),election-deepfake,index,,,,,,Election deepfake regulation.,,,,,https://iga.in.gov/legislative/2024/bills/senate/114,https://vorplabs.com/ai-regulatory-updates/deepfake-laws#in-election-deepfake
ms-election-deepfake,state,Mississippi,SB 2577 (2024),SB 2577 (2024),election-deepfake,index,,,,,,Election deepfake regulation.,,,,,http://billstatus.ls.state.ms.us/2024/pdf/history/SB/SB2577.xml,https://vorplabs.com/ai-regulatory-updates/deepfake-laws#ms-election-deepfake
nm-election-deepfake,state,New Mexico,HB 182 (2024),HB 182 (2024),election-deepfake,index,,,,,,Election deepfake regulation.,,,,,https://www.nmlegis.gov/Legislation/Legislation?Chamber=H&LegType=B&LegNo=182&year=24,https://vorplabs.com/ai-regulatory-updates/deepfake-laws#nm-election-deepfake
ny-election-deepfake,state,New York,S7694 (2024),S7694 (2024),election-deepfake,index,,,,,,Election deepfake regulation.,,,,,https://www.nysenate.gov/legislation/bills/2023/S7694,https://vorplabs.com/ai-regulatory-updates/deepfake-laws#ny-election-deepfake
or-election-deepfake,state,Oregon,SB 1571 (2024),SB 1571 (2024),election-deepfake,index,,,,,,Election deepfake disclosure requirement.,,,,,https://olis.oregonlegislature.gov/liz/2024R1/Measures/Overview/SB1571,https://vorplabs.com/ai-regulatory-updates/deepfake-laws#or-election-deepfake
sc-election-deepfake,state,South Carolina,H 4707 (2024),H 4707 (2024),election-deepfake,index,,,,,,Election deepfake regulation.,,,,,https://www.scstatehouse.gov/billsearch.php?billnumbers=4707&session=125,https://vorplabs.com/ai-regulatory-updates/deepfake-laws#sc-election-deepfake
ut-election-deepfake,state,Utah,SB 131 (2024),SB 131 (2024),election-deepfake,index,,,,,,Election deepfake regulation.,,,,,https://le.utah.gov/~2024/bills/static/SB0131.html,https://vorplabs.com/ai-regulatory-updates/deepfake-laws#ut-election-deepfake
wi-election-deepfake,state,Wisconsin,AB 664 (2024),AB 664 (2024),election-deepfake,index,,,,,,Election deepfake regulation.,,,,,https://docs.legis.wisconsin.gov/2023/proposals/ab664,https://vorplabs.com/ai-regulatory-updates/deepfake-laws#wi-election-deepfake
mi-election-deepfake,state,Michigan,"HB 5141 (2023), Public Act 263 of 2023","HB 5141 (2023), Public Act 263 of 2023",election-deepfake,index,,,,,,Election deepfake regulation.,,,,,https://www.legislature.mi.gov/Bills/Bill?ObjectName=2023-HB-5141,https://vorplabs.com/ai-regulatory-updates/deepfake-laws#mi-election-deepfake
il-election-deepfake,state,Illinois,SB 2123 (2024),SB 2123 (2024),election-deepfake,index,,,,,,Election deepfake regulation.,,,,,https://www.ilga.gov/legislation/BillStatus.asp?DocNum=2123&GESSION_ID=112&GA=103&DocTypeID=SB&SessionID=112,https://vorplabs.com/ai-regulatory-updates/deepfake-laws#il-election-deepfake
nj-election-deepfake,state,New Jersey,A4892 (2024),A4892 (2024),election-deepfake,index,,,,,,Election deepfake regulation.,,,,,https://www.njleg.state.nj.us/bill-search/2024/A4892,https://vorplabs.com/ai-regulatory-updates/deepfake-laws#nj-election-deepfake
va-election-deepfake,state,Virginia,HB 2781 (2025),HB 2781 (2025),election-deepfake,index,,,,,,Election deepfake regulation.,,,,,https://lis.virginia.gov/bill-details/20251/HB2781,https://vorplabs.com/ai-regulatory-updates/deepfake-laws#va-election-deepfake
nh-election-deepfake,state,New Hampshire,HB 1596 (2024),HB 1596 (2024),election-deepfake,index,,,,,,Election deepfake regulation.,,,,,https://www.gencourt.state.nh.us/bill_status/legacy/bs2016/bill_docket.aspx?lsr=2914&sy=2024&txtsessionyear=2024&txtbillnumber=HB1596&soression=2024,https://vorplabs.com/ai-regulatory-updates/deepfake-laws#nh-election-deepfake
tx-ncii-21-165,state,Texas,Penal Code 21.165,Penal Code 21.165,synthetic-ncii,full,,,,,,Criminalizes creation and distribution of AI-generated non-consensual intimate images (synthetic sexual content).,"State jail felony (up to two years, $10,000 fine).",,,,https://statutes.capitol.texas.gov/Docs/PE/htm/PE.21.htm,https://vorplabs.com/ai-regulatory-updates/deepfake-laws#tx-ncii-21-165
de-ncii-ch-78,state,Delaware,10 Del. C. ch. 78,10 Del. C. ch. 78,synthetic-ncii,full,,,,,,"Civil remedies for victims of non-consensual intimate images, including AI-generated intimate images.",Civil liability; damages and injunctive relief.,,Yes.,,https://delcode.delaware.gov/title10/c078/index.html,https://vorplabs.com/ai-regulatory-updates/deepfake-laws#de-ncii-ch-78
mt-ncii-45-5-640,state,Montana,45-5-640 MCA,45-5-640 MCA,synthetic-ncii,full,,,,,,"Criminalizes distribution of non-consensual intimate images, including AI-generated or deepfake intimate content.",Misdemeanor (first offense); felony (subsequent offenses).,,,,https://leg.mt.gov/bills/mca/title_0450/chapter_0050/part_0060/section_0400/0450-0050-0060-0400.html,https://vorplabs.com/ai-regulatory-updates/deepfake-laws#mt-ncii-45-5-640
ca-ncii-1708-86,state,California,Civ. Code 1708.86,Civ. Code 1708.86,synthetic-ncii,full,,,,,,Civil liability for distribution of sexually explicit deepfake images or recordings created without consent.,"Civil damages, including economic and non-economic damages, punitive damages, and attorney fees.",,Yes.,,https://leginfo.legislature.ca.gov/faces/codes_displaySection.xhtml?sectionNum=1708.86.&lawCode=CIV,https://vorplabs.com/ai-regulatory-updates/deepfake-laws#ca-ncii-1708-86
tn-elvis-act,state,Tennessee,ELVIS Act — Tenn. Code Ann. 47-25-1701 et seq.,ELVIS Act — Tenn. Code Ann. 47-25-1701 et seq.,digital-replica,full,,,2024-07-01,day,,Extends Tennessee's right of publicity to cover AI-generated replicas of voice and likeness. Protects against unauthorized use of a person's voice or visual likeness through AI or other technology.,"Civil liability: actual damages or profits, injunctive relief, attorney fees. Statutory damages available.",,Yes.,,https://wapp.capitol.tn.gov/apps/BillInfo/Default.aspx?BillNumber=SB0769&GA=113,https://vorplabs.com/ai-regulatory-updates/deepfake-laws#tn-elvis-act
ca-ab-1836,state,California,AB 1836 (2024),AB 1836 (2024),digital-replica,full,,,2025-01-01,day,,"Protects deceased performers' digital replicas. Extends the right of publicity to cover unauthorized use of a deceased personality's digital replica, including AI-generated likenesses.","Civil liability: damages, profits, injunctive relief.",,Yes — representatives of deceased personalities.,,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202320240AB1836,https://vorplabs.com/ai-regulatory-updates/deepfake-laws#ca-ab-1836
ca-ab-2602,state,California,AB 2602 (2024),AB 2602 (2024),digital-replica,full,,,2025-01-01,day,,Requires informed consent before using AI to create digital replicas of performers in contracts. Makes contract provisions for AI replicas unenforceable if the performer was not represented or did not have a meaningful opportunity to consult representation.,Contract remedy: unenforceable provisions. Civil liability for unauthorized use.,,Yes.,,https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202320240AB2602,https://vorplabs.com/ai-regulatory-updates/deepfake-laws#ca-ab-2602
ny-synthetic-performers,state,New York,Pending — official source unconfirmed,Pending — official source unconfirmed,digital-replica,index,,,,,,Reported legislation addressing AI-generated replicas of performers. Official NY source not confirmed as of 2026-07-10.,,,,,,https://vorplabs.com/ai-regulatory-updates/deepfake-laws#ny-synthetic-performers
