# AI Agent Liability, Insurance, and Attestation Tracker
# Version: 2026.07.21
# As of: 2026-07-21
# License: CC BY 4.0, https://creativecommons.org/licenses/by/4.0/
# Citation: Vorp Labs, AI Agent Liability, Insurance, and Attestation Tracker (as of 2026-07-21), https://vorplabs.com/ai-agent-liability
# Source: https://vorplabs.com/ai-agent-liability
# Releases and checksums: https://vorplabs.com/datasets/ai-agent-liability/manifest.json
anchor,entry_name,actor,category,agent_scope,summary,event_date,event_date_label,status,source_url,source_title,source_type,source_claim_scope,verification,notes,url
armilla-guaranteed,Armilla Guaranteed performance warranty,"Armilla with Swiss Re, Greenlight Re, and Chaucer",insurance-product,general-ai,"Insurance-backed AI performance warranty based on independent evaluation of performance, fairness, robustness, and security; if a verified algorithm misses warranted KPIs, the buyer can recover the license fee under the warranty terms.",2023-09-28,,available-subject-to-underwriting,https://www.armilla.ai/resources/armilla-assurance-launches-armilla-guaranteed-tm-warranty-coverage-for-ai-products-in-partnership-with-leading-insurance-companies,Armilla Guaranteed launch announcement,official-company-announcement,company-self-description,verified,,https://vorplabs.com/ai-agent-liability#armilla-guaranteed
armilla-liability,Armilla AI liability insurance,Armilla and Lloyd's underwriters including Chaucer,insurance-product,agent-inclusive,"Standalone third-party AI liability coverage for legal costs and liabilities arising from underperformance such as hallucinations, inaccuracies, model drift, mechanical failure, and deviations from expected behavior, described at launch as available to US insureds with global territorial limits.",2025-04-30,,available-subject-to-underwriting,https://www.armilla.ai/resources/armilla-launches-affirmative-ai-liability-insurance-with-lloyds-underwriter-chaucer,Armilla standalone AI liability launch,official-company-announcement,company-self-description,verified,,https://vorplabs.com/ai-agent-liability#armilla-liability
armilla-25m,Armilla expanded autonomous-agent coverage,Armilla,insurance-product,agent-specific,"Expanded limits up to $25 million per organization with express coverage descriptions for autonomous-agent failures: incorrect agent decisions, improper tool use, escalation errors, non-breach data leakage, property damage, and regulatory defense. Each policy is described as including independent AI-system certification and risk reporting.",2026-01-21,,available-subject-to-underwriting,https://www.armilla.ai/resources/armilla-ai-raises-lloyds-backed-coverage-to-25m-as-traditional-insurers-retreat-from-ai-risk,Armilla $25M expanded coverage announcement,official-company-announcement,company-self-description,verified,"The page is dated January 21, 2026 but contains an apparent 2025 dateline typo in its body, preserved here as a source caveat.",https://vorplabs.com/ai-agent-liability#armilla-25m
vanguard-ai,Vanguard AI coordinated program,Chaucer and Armilla,insurance-product,agent-inclusive,"Coordinates Chaucer cyber and technology E&O with Armilla's standalone AI liability policy, using predefined allocation rules for mixed incidents, with AI liability limits described as $25 million or more per organization. Availability remains subject to underwriting and jurisdiction.",2026-02-10,,available-subject-to-underwriting,https://www.armilla.ai/resources/chaucer-and-armilla-launch-vanguard-ai-to-clarify-cyber-technology-and-ai-liability-in-a-single-coordinated-structure,Vanguard AI launch announcement,official-company-announcement,company-self-description,verified,,https://vorplabs.com/ai-agent-liability#vanguard-ai
armilla-brokers,Armilla broker and underwriting intake,Armilla,insurance-product,agent-inclusive,"Armilla's broker page says coverage is active in North America, broker-mediated, and typically 12 months, and that quote intake requests prior AI incidents including carrier notification, dates, and remediation steps: prior-incident history is underwriting evidence.",,,active-product,https://www.armilla.ai/brokers,Armilla brokers page,official-product-page,company-self-description,verified,,https://vorplabs.com/ai-agent-liability#armilla-brokers
relm-novaai,Relm NOVAAI,Relm Insurance,insurance-product,generative-ai-general,"Cyber and technology E&O for AI platforms and products, including AI product liability, generated-media liability, regulatory liability, a discrimination carveback, and deepfake crime. US products are offered through a licensed affiliate and may not be available in every state.",2025-01-14,,available-subject-to-underwriting,https://relminsurance.com/relm-insurance-launches-ai-suite/,Relm AI suite launch,official-company-announcement,company-self-description,verified,,https://vorplabs.com/ai-agent-liability#relm-novaai
relm-pontaai,Relm PONTAAI,Relm Insurance,insurance-product,generative-ai-general,"Excess difference-in-conditions wrap for AI-related professional negligence, IP infringement, personal injury, discrimination, privacy, bodily injury, property damage, and regulatory violations.",2025-01-14,,available-subject-to-underwriting,https://relminsurance.com/relm-insurance-launches-ai-suite/,Relm AI suite launch,official-company-announcement,company-self-description,verified,,https://vorplabs.com/ai-agent-liability#relm-pontaai
relm-rescaai,Relm RESCAAI,Relm Insurance,insurance-product,generative-ai-general,"First-party response cover for organizations using or embedding third-party AI: business interruption, reputational harm, product recall, and response costs. The fetched materials do not disclose agent-specific trace or attestation requirements.",2025-01-14,,available-subject-to-underwriting,https://relminsurance.com/relm-insurance-launches-ai-suite/,Relm AI suite launch,official-company-announcement,company-self-description,verified,,https://vorplabs.com/ai-agent-liability#relm-rescaai
munichre-aisure,Munich Re aiSure,Munich Re and HSB,insurance-product,general-ai,"Performance-guarantee insurance for AI providers addressing errors and generative-AI hallucinations, able to support warranties indemnifying customers for financial losses or legal liabilities directly related to AI errors. An AI solution must undergo Munich Re's technical due diligence to obtain coverage; the public summary does not disclose a complete agent-trace data dictionary.",2018-01-01,Pioneered 2018,active-product,https://www.munichre.com/hsbcanada/en/products/commercial-lines-brokers-and-agents/aisure.html,Munich Re aiSure product page,official-product-page,company-self-description,verified,Event date approximated to the year Munich Re says the product was pioneered.,https://vorplabs.com/ai-agent-liability#munichre-aisure
hsb-ai-liability,HSB AI liability insurance for small businesses,HSB (Munich Re Group),insurance-product,general-ai,"Coverage for small and medium businesses for lawsuits involving bodily injury, property damage, and personal or advertising injury arising from AI use. As announced it was pending regulatory approval, to be added to partner carriers' business policies rather than sold directly by HSB.",2026-03-18,,pending-regulatory-approval,https://www.munichre.com/hsb/en/press-and-publications/press-releases/2026/2026-03-18-introducing-ai-liability-insurance-for-small-businesses.html,HSB AI liability insurance press release,official-company-announcement,company-self-description,verified,,https://vorplabs.com/ai-agent-liability#hsb-ai-liability
lloyds-armilla,Lloyd's recognition of Armilla as an AI-liability MGA,Lloyd's of London,insurance-product,agent-inclusive,"Lloyd's describes Armilla as an operating MGA and Lloyd's coverholder dedicated to AI liability, with products addressing algorithmic errors, model drift, and hallucinations: third-party corroboration of the market's existence from the marketplace itself.",,,active-product,https://www.lloyds.com/insights/lloyds-lab/programmes-and-initiatives/lloyds-lab-accelerator/alumni/armilla-ai,Lloyd's Lab alumni page: Armilla,official-product-page,company-self-description,verified,,https://vorplabs.com/ai-agent-liability#lloyds-armilla
aiuc-company,AIUC company and funding,"AIUC (Caliber Labs, PBC)",certification,agent-specific,"Caliber Labs, PBC does business as the Artificial Intelligence Underwriting Company. Its launch announcement identified Rune Kvist, Brandon Wang, and Rajiv Dattani as founders with a $15 million seed led by Nat Friedman at NFDG. The current team page lists Kvist and Dattani; the omission of Wang is preserved as a source-history note.",2025-07-23,,active-company,https://www.prnewswire.com/news-releases/the-artificial-intelligence-underwriting-company-launches-with-15m-to-help-enterprises-deploy-ai-with-confidence-302512447.html,AIUC launch announcement (PR Newswire),official-company-announcement,company-self-description,verified,,https://vorplabs.com/ai-agent-liability#aiuc-company
nist-ai-600-1,NIST AI 600-1 generative AI profile,NIST,standard,generative-ai-general,"Cross-sector generative-AI profile of the AI Risk Management Framework, published July 26, 2024. NIST does not characterize it as an agent-specific certification or logging specification.",2024-07-26,,published-guidance,https://www.nist.gov/publications/artificial-intelligence-risk-management-framework-generative-artificial-intelligence,NIST AI 600-1 landing page,official-standard,normative-requirement,verified,,https://vorplabs.com/ai-agent-liability#nist-ai-600-1
nist-agent-initiative,NIST AI Agent Standards Initiative,NIST,standard,agent-specific,"An initiative for industry-led technical standards, voluntary guidance, protocol interoperability, security, and standards-gap analysis for AI agents. The fetched page describes an initiative, not a completed certifiable agent standard.",2026-01-01,2026,active-initiative,https://www.nist.gov/artificial-intelligence/ai-agent-standards-initiative,NIST AI Agent Standards Initiative,official-standard,normative-requirement,verified,Event date approximated to the year; NIST's page does not carry a precise date.,https://vorplabs.com/ai-agent-liability#nist-agent-initiative
owasp-aos,OWASP Agent Observability Standard,OWASP,standard,agent-specific,"Work-in-progress specification for instrumentable, traceable, inspectable agents with audit trails, a dynamic bill of materials, and inline controls, building on OpenTelemetry, OCSF, MCP, A2A, CycloneDX, SPDX, and SWID. Its OCSF mapping extends the API Activity class for agent-specific security events.",,,work-in-progress,https://aos.owasp.org/aos/,OWASP Agent Observability Standard,official-standard,normative-requirement,verified,,https://vorplabs.com/ai-agent-liability#owasp-aos
armilla-litigation-db,Armilla AI Litigation Database,Armilla,standard,general-ai,"Armilla announced a live AI litigation database integrated with model evaluation and underwriting. The database endpoint, row schema, update cadence, and public-download terms were not established from the announcement; it is tracked here as the closest adjacent maintained resource.",2025-10-16,,announced,https://www.armilla.ai/resources/armilla-ai-launches-navigating-ai-litigation-and-risk-white-paper-and-live-database-at-itc-vegas-2025,Armilla AI Litigation Database announcement,official-company-announcement,company-self-description,verified,,https://vorplabs.com/ai-agent-liability#armilla-litigation-db
moffatt-v-air-canada,Moffatt v. Air Canada,British Columbia Civil Resolution Tribunal,case,agent-inclusive,"The tribunal found Air Canada liable in negligent misrepresentation for inaccurate bereavement-fare information given by its website chatbot, holding that the airline is responsible for all the information on its website whether it comes from a static page or a chatbot, and that it did not take reasonable care to ensure its chatbot was accurate. Air Canada was ordered to pay $812.02 CAD in damages, interest, and fees. Neutral citation 2024 BCCRT 149; Tribunal Member Christopher C. Rivers.",2024-02-14,,decided,https://decisions.civilresolutionbc.ca/crt/crtd/en/item/525448/index.do,"Moffatt v. Air Canada, 2024 BCCRT 149 (Civil Resolution Tribunal decisions database)",court-decision,judicial-holding,verified,A small-claims tribunal decision from British Columbia; persuasive but not binding precedent elsewhere.,https://vorplabs.com/ai-agent-liability#moffatt-v-air-canada
eu-aild-withdrawn,EU AI Liability Directive proposal withdrawn,European Commission,legal-status,general-ai,"The European Parliament's legislative observatory records procedure 2022/0303(COD), the proposed AI Liability Directive, with status 'Procedure lapsed or withdrawn' and the event 'Proposal withdrawn by Commission' dated October 6, 2025. No successor instrument appears in the procedure file as of the tracker date.",2025-10-06,,withdrawn,https://oeil.europarl.europa.eu/oeil/en/procedure-file?reference=2022/0303(COD),"European Parliament legislative observatory, procedure 2022/0303(COD)",official-legislative-record,legislative-record,verified,,https://vorplabs.com/ai-agent-liability#eu-aild-withdrawn
