# US Federal AI Enforcement Tracker
# Version: 2026.07.19
# As of: 2026-07-18
# License: CC BY 4.0, https://creativecommons.org/licenses/by/4.0/
# Citation: Vorp Labs, US Federal AI Enforcement Tracker (as of 2026-07-18), https://vorplabs.com/ai-regulatory-updates/federal-enforcement
# Source: https://vorplabs.com/ai-regulatory-updates/federal-enforcement
# Releases and checksums: https://vorplabs.com/datasets/federal-ai-enforcement/manifest.json
anchor,agency,target,short_name,filed_date,filed_date_precision,order_date,order_date_precision,legal_authority,docket_or_file_numbers,status,status_detail,outcome,summary,ai_issue,ai_issue_tags,court,penalties_summary,source_urls,url
ftc-air-ai,FTC,Air AI / Air AI Technologies / Caleb Maddix / Ryan O'Donnell / Thomas Lancer,FTC v. Air AI,2025-08-25,day,2026-03-24,day,FTC Act; Telemarketing Sales Rule; Business Opportunity Rule,2:25-cv-03068-SMB,final-order,"Complaint filed 2025-08-25. Stipulated final order announced 2026-03-24; $18M judgment largely suspended (inability to pay); $50,000 payment; D. Ariz.; vote 2-0.","$18M judgment largely suspended; $50,000 payment; business-opportunity ban.","FTC alleged Air AI and its owners used deceptive claims about AI-driven business growth, earnings potential, and refund policies to lure consumers into purchasing business opportunities.",Deceptive AI business-opportunity / earnings claims,business-opportunity-earnings-claims,D. Ariz.,"suspended-judgment: $18,000,000 (suspended) [Largely suspended based on inability to pay]; redress: $50,000 (exact) [Payment for consumer relief]",https://www.ftc.gov/news-events/news/press-releases/2025/08/ftc-sues-stop-air-ai-using-deceptive-claims-about-business-growth-earnings-potential-refund; https://www.ftc.gov/news-events/news/press-releases/2026/03/air-ai-its-owners-will-be-banned-marketing-business-opportunities-settle-ftc-charges-company-misled,https://vorplabs.com/ai-regulatory-updates/federal-enforcement#ftc-air-ai
ftc-automators,FTC,Automators LLC d/b/a Automators AI / Roman Cresto / John Cresto / Andrew Chapman,FTC v. Automators,2023-08-22,day,2024-02-27,day,FTC Act Section 5; Business Opportunity Rule,,final-order,Stipulated order for permanent injunction and monetary judgment listed on the FTC case timeline dated 2024-02-27; the FTC case page label remains Pending.,"Bans from covered business-opportunity and e-commerce coaching sales for the companies and individual defendants, with asset surrender for consumer redress.",FTC alleged the Automators AI operators claimed their artificial intelligence tools would ensure the success and profitability of consumers' e-commerce stores despite lacking support for the promised returns. A federal court halted the scheme in 2023 and a stipulated final order followed in 2024.,Deceptive AI business-opportunity / earnings claims,business-opportunity-earnings-claims,,,https://www.ftc.gov/legal-library/browse/cases-proceedings/automators,https://vorplabs.com/ai-regulatory-updates/federal-enforcement#ftc-automators
ftc-cri-genetics,FTC,CRI Genetics LLC,FTC and California v. CRI Genetics,2023-11-21,day,2023-11-21,day,FTC Act Section 5; parallel California-law claims,2:23-cv-9824,final-order,Stipulated order for permanent injunction and monetary judgment filed with the 2023-11-21 settlement announcement; the FTC case page label remains Pending.,"$700,000 civil penalty and prohibitions on deceptive accuracy, review, endorsement, and data-use representations.","FTC and the California AG alleged CRI Genetics overstated the accuracy of its DNA reports, including claims that an AI algorithm performed genetic matching. This is a joint federal-state action recorded here because the FTC is a plaintiff.",Deceptive AI-algorithm accuracy claims,ai-washing,C.D. Cal.,"civil-penalty: $700,000 (exact)",https://www.ftc.gov/legal-library/browse/cases-proceedings/cri-genetics-ftc-state-california-v,https://vorplabs.com/ai-regulatory-updates/federal-enforcement#ftc-cri-genetics
ftc-ascend-ecom,FTC,Ascend Ecom / William Michael Basta / Jeremy Kenneth Leung,FTC v. Ascend Ecom,2024-09-25,day,,,FTC Act Section 5; Business Opportunity Rule,2:24-cv-07660,proposed-order-pending-court-approval,Proposed stipulated order filed on the FTC case timeline dated 2025-06-23; court entry of a final judgment has not been verified from the docket.,"Proposed terms include permanent business-opportunity bans, asset surrender, and a $25 million judgment partially suspended based on inability to pay.",FTC alleged Ascend Ecom claimed its proprietary AI tools would enable consumers to earn thousands of dollars per month from online storefronts. The case was filed in the Operation AI Comply sweep and moved to a proposed settlement in 2025.,Deceptive AI business-opportunity / earnings claims,business-opportunity-earnings-claims,C.D. Cal.,"judgment: $25,000,000 (suspended) [Judgment in the proposed order, partially suspended based on inability to pay; excluded from totals.]",https://www.ftc.gov/legal-library/browse/cases-proceedings/242-3023-ascend-ecom,https://vorplabs.com/ai-regulatory-updates/federal-enforcement#ftc-ascend-ecom
ftc-click-profit,FTC,"Click Profit LLC, related entities, and four operators",FTC v. Click Profit,2025-03-18,day,2025-08-25,day,FTC Act Section 5; Business Opportunity Rule,1:25-cv-20973,final-order,Stipulated orders for permanent injunction and monetary judgment listed on the FTC case timeline dated 2025-08-25; the FTC case page label remains Pending during administration.,"Permanent industry bans; cash, real estate, and personal property surrendered for redress under stipulated orders.",FTC alleged Click Profit promised passive income from online stores using a proprietary AI-powered system and falsely claimed affiliations with major brands. A federal court temporarily halted the operation at the FTC's request before the stipulated final orders.,Deceptive AI business-opportunity / earnings claims,business-opportunity-earnings-claims,S.D. Fla.,,https://www.ftc.gov/legal-library/browse/cases-proceedings/click-profit-llc,https://vorplabs.com/ai-regulatory-updates/federal-enforcement#ftc-click-profit
ftc-cmg-media,FTC,CMG Media Corp. d/b/a Cox Media Group,In the Matter of CMG Media (Active Listening),2026-05-21,day,,,FTC Act Section 5,,proposed-consent-pending-final-approval,Proposed consent order announced 2026-05-21; no final Commission order located as of 2026-07-18.,"Proposed $880,000 payment plus prohibitions on misrepresentations about voice collection, consumer consent, service features, and geographic targeting.","FTC alleged Cox Media Group sold an Active Listening marketing service claimed to use AI and smart-device voice data to target advertising, when the service did not use voice data and consumers had not opted in.",False AI voice-data advertising claims,ai-washing,,,https://www.ftc.gov/news-events/news/press-releases/2026/05/ftc-require-cox-media-group-two-other-firms-pay-nearly-1-million-settle-charges-they-deceived,https://vorplabs.com/ai-regulatory-updates/federal-enforcement#ftc-cmg-media
ftc-mindsift,FTC,MindSift LLC,In the Matter of MindSift (Active Listening),2026-05-21,day,,,"FTC Act Section 5, including a means-and-instrumentalities theory",,proposed-consent-pending-final-approval,Proposed consent order announced 2026-05-21; no final Commission order located as of 2026-07-18.,"Proposed $25,000 payment and conduct restrictions.",FTC alleged New Hampshire-based MindSift supplied deceptive marketing materials supporting false claims that the Active Listening service used AI and smart-device voice data with consumer consent.,False AI voice-data advertising claims,ai-washing,,,https://www.ftc.gov/news-events/news/press-releases/2026/05/ftc-require-cox-media-group-two-other-firms-pay-nearly-1-million-settle-charges-they-deceived,https://vorplabs.com/ai-regulatory-updates/federal-enforcement#ftc-mindsift
ftc-1010-digital,FTC,1010 Digital Works LLC,In the Matter of 1010 Digital Works (Active Listening),2026-05-21,day,,,"FTC Act Section 5, including a means-and-instrumentalities theory",,proposed-consent-pending-final-approval,Proposed consent order announced 2026-05-21; no final Commission order located as of 2026-07-18.,"Proposed $25,000 payment and conduct restrictions.",FTC alleged Wisconsin-based 1010 Digital Works supplied deceptive marketing materials supporting false claims that the Active Listening service used AI and smart-device voice data with consumer consent.,False AI voice-data advertising claims,ai-washing,,,https://www.ftc.gov/news-events/news/press-releases/2026/05/ftc-require-cox-media-group-two-other-firms-pay-nearly-1-million-settle-charges-they-deceived,https://vorplabs.com/ai-regulatory-updates/federal-enforcement#ftc-1010-digital
sec-delphia,SEC,Delphia (USA) Inc.,In the Matter of Delphia,2024-03-18,day,,,Investment Advisers Act; Marketing Rule,3-21894; IA-6573,settled,Settled administrative order.,"Censure and cease-and-desist; $225,000 civil penalty.",SEC charged Delphia with making false and misleading statements about its use of AI and machine learning in its investment process.,AI washing / false AI investment claims,ai-washing,,"civil-penalty: $225,000 (exact)",https://www.sec.gov/newsroom/press-releases/2024-36,https://vorplabs.com/ai-regulatory-updates/federal-enforcement#sec-delphia
sec-global-predictions,SEC,Global Predictions Inc.,In the Matter of Global Predictions,2024-03-18,day,,,Investment Advisers Act; Marketing Rule,3-21895; IA-6574,settled,Settled administrative order.,"Censure and cease-and-desist; $175,000 civil penalty.",SEC charged Global Predictions with falsely claiming to be the 'first regulated AI financial advisor' and making misleading claims about AI-generated forecasts.,AI washing / false AI investment claims,ai-washing,,"civil-penalty: $175,000 (exact)",https://www.sec.gov/newsroom/press-releases/2024-36,https://vorplabs.com/ai-regulatory-updates/federal-enforcement#sec-global-predictions
sec-joonko,SEC,Ilit Raz / Joonko Diversity Inc.,SEC v. Ilit Raz,2024-06-11,day,,,"Securities Act Section 17(a); Exchange Act Section 10(b), Rule 10b-5",24-civ-4466,litigation-pending,Litigation pending. Parallel DOJ criminal case.,"SEC seeks injunction, penalties, disgorgement/prejudgment interest, officer/director bar.",SEC charged the founder of AI hiring startup Joonko with defrauding investors of at least $21 million by fabricating customers and revenue.,AI-company investor fraud,investor-fraud,S.D.N.Y.,,https://www.sec.gov/enforcement-litigation/litigation-releases/lr-26020,https://vorplabs.com/ai-regulatory-updates/federal-enforcement#sec-joonko
sec-qz-asset,SEC,QZ Asset Management / QZ Global / Blake Yeung,SEC v. QZ Asset Management,2024-08-27,day,,,Federal securities-law antifraud provisions,,litigation-pending,SEC litigation ongoing per release.,"SEC seeks permanent injunction, disgorgement, civil penalties.",SEC charged QZ Asset Management and CEO Blake Yeung with falsely claiming QZ Asset would use proprietary AI-based technology to generate extraordinary returns while promising 100% protection for client funds.,AI washing / false AI trading claims,ai-washing; investor-fraud,,,https://www.sec.gov/newsroom/press-releases/2024-109,https://vorplabs.com/ai-regulatory-updates/federal-enforcement#sec-qz-asset
sec-rimar-capital,SEC,Rimar Capital USA / Rimar Capital LLC / Itai Liptz / Clifford Boro,SEC v. Rimar Capital,2024-10-10,day,,,Federal securities-law antifraud provisions,,settled,Settled.,"$310,000 total civil penalties; Liptz bar with right to reapply after five years.",SEC charged Rimar Capital entities and owner Itai Liptz with defrauding investors by making false and misleading statements about purported AI-driven automated trading.,AI washing / false AI trading claims,ai-washing; investor-fraud,,"civil-penalty: $310,000 (exact)",https://www.sec.gov/newsroom/press-releases/2024-167,https://vorplabs.com/ai-regulatory-updates/federal-enforcement#sec-rimar-capital
sec-presto,SEC,Presto Automation Inc.,In the Matter of Presto Automation,2025-01-14,day,,,"Securities Act Section 17(a)(2); Exchange Act Section 13(a); Rules 13a-11, 13a-15(a)",3-22413,settled,Settled administrative cease-and-desist.,No civil penalty (cooperation/remediation credit).,"SEC found Presto Automation made misleading statements about its flagship AI drive-thru voice product, including the degree to which the product relied on human agents rather than AI.",AI washing / misleading AI product claims,ai-washing,,,https://www.sec.gov/enforcement-litigation/administrative-proceedings/33-11352-s,https://vorplabs.com/ai-regulatory-updates/federal-enforcement#sec-presto
sec-nate,SEC,Albert Saniger / Nate Inc.,SEC v. Albert Saniger,2025-04-09,day,,,Securities-law antifraud provisions,1:25-cv-02937,litigation-pending,Litigation pending. Parallel DOJ criminal case.,SEC alleges over $42 million raised through false AI claims.,"SEC charged the founder of Nate, an AI shopping-app startup, with fraudulently raising over $42 million by making false and misleading statements about the company's proprietary AI technology.",AI-company investor fraud,investor-fraud,S.D.N.Y.,,https://www.sec.gov/enforcement-litigation/litigation-releases/lr-26282,https://vorplabs.com/ai-regulatory-updates/federal-enforcement#sec-nate
sec-onpassive,SEC,Ashraf Mufareh / ONPASSIVE LLC,SEC v. Mufareh and ONPASSIVE,2023-08-11,day,,,"Securities Act Sections 5(a), 5(c), and 17(a); Exchange Act Section 10(b) and Rule 10b-5",,litigation-pending,Litigated action filed 2023-08-11; no later primary-source resolution located. Current docket status unverified.,"SEC seeks injunctions, disgorgement, prejudgment interest, civil penalties, and an officer and director bar.",SEC alleged the defendants raised more than $108 million through a pyramid-style unregistered offering tied to promised AI applications that had not commercially launched.,AI-themed investor fraud,investor-fraud; ai-washing,,,https://www.sec.gov/enforcement-litigation/litigation-releases/lr-25809,https://vorplabs.com/ai-regulatory-updates/federal-enforcement#sec-onpassive
sec-centricity,SEC,Michael Brackett (Centricity Inc.),SEC v. Brackett,2024-04-19,day,,,Securities Act Section 17(a); Exchange Act Section 10(b) and Rule 10b-5,,litigation-pending,Litigated action announced 2024-04-19; no later primary-source resolution located. Current docket status unverified.,"SEC seeks an injunction, disgorgement, prejudgment interest, civil penalties, and an officer and director bar.","SEC alleged the founder of a purported AI startup fabricated customer, contract, and revenue claims and misappropriated investor money.",AI-themed investor fraud,investor-fraud,,,https://www.sec.gov/enforcement-litigation/litigation-releases/lr-25980,https://vorplabs.com/ai-regulatory-updates/federal-enforcement#sec-centricity
sec-kubient,SEC,Paul D. Roberts / Joshua A. Weiss / Grainne M. Coen (Kubient Inc.),SEC v. Roberts (Kubient),2024-09-16,day,,,"Securities Act and Exchange Act antifraud, reporting, books-and-records, internal-control, and auditor-related provisions",,litigation-pending,Roberts consented to liability injunctions with remedies reserved for litigation at filing; related charges against other executives were litigated separately. Current docket status unverified.,"Partial settlement as to liability for Roberts; SEC sought injunctions, officer bars, disgorgement, and penalties across the defendants.","SEC alleged Kubient executives fabricated testing and revenue associated with KAI, a purported machine-learning advertising-fraud detection product, at the NASDAQ-listed adtech company. A parallel criminal case was announced by the U.S. Attorney's Office for the Southern District of New York.",Fabricated AI product testing and revenue,ai-washing; investor-fraud,,,https://www.sec.gov/newsroom/press-releases/2024-131,https://vorplabs.com/ai-regulatory-updates/federal-enforcement#sec-kubient
doj-meta,DOJ,Meta Platforms Inc. f/k/a Facebook,United States v. Meta Platforms,2022-06-21,day,,,Fair Housing Act,,settled,Settlement announced 2022-06-21. Court oversight ran through 2026-06-27 (four-year term). Formal closeout not publicly announced.,Meta required to stop Special Ad Audience for housing ads and build a variance-reduction system subject to DOJ/court oversight.,"DOJ described the matter as its first Fair Housing Act case challenging algorithmic bias. DOJ alleged Meta's ad-delivery algorithms discriminated on the basis of race, color, religion, sex, disability, familial status, and national origin in the delivery of housing advertisements.",Algorithmic discrimination / automated ad targeting,housing-discrimination,,,https://www.justice.gov/archives/opa/pr/justice-department-secures-groundbreaking-settlement-agreement-meta-platforms-formerly-known; https://www.justice.gov/archives/opa/pr/justice-department-and-meta-platforms-inc-reach-key-agreement-they-implement-groundbreaking,https://vorplabs.com/ai-regulatory-updates/federal-enforcement#doj-meta
doj-realpage,DOJ,RealPage Inc.,United States v. RealPage,2024-08-23,day,,,Sherman Act Sections 1 and 2,,litigation-pending,"Complaint 2024-08-23; amended complaint 2025-01-07. Only Greystar has a final judgment (2026-03-02). Cortland, RealPage, LivCor, Willow Bridge have proposed final judgments only. Willow Bridge proposed final judgment filed 2026-07-06.",Injunctive relief and consent decrees sought; no global monetary penalty identified.,DOJ and state attorneys general allege RealPage's algorithmic rental-pricing software enabled coordinated pricing among competing landlords through shared competitively sensitive data.,Algorithmic pricing / alleged price coordination,algorithmic-pricing,,,https://www.justice.gov/atr/case/us-and-plaintiff-states-v-realpage-inc; https://www.justice.gov/archives/opa/pr/justice-department-sues-realpage-algorithmic-pricing-scheme-harms-millions-american-renters,https://vorplabs.com/ai-regulatory-updates/federal-enforcement#doj-realpage
doj-tadrus,DOJ,Mina Tadrus / Tadrus Capital,United States v. Mina Tadrus,2023-09,month,2025-02-13,day,Investment adviser fraud,23-CR-393 (HG),guilty-plea,Guilty plea 2025-02-13. Sentencing status needs docket verification.,Pleaded guilty; forfeiture agreement referenced; faces up to five years.,"Founder of a purported AI-driven hedge fund pleaded guilty to investment adviser fraud, having falsely promised guaranteed annual returns of 30% or more from AI-driven trading.",AI-company investor fraud / false AI claims,investor-fraud,E.D.N.Y.,,https://www.justice.gov/usao-edny/pr/founder-purported-artificial-intelligence-driven-hedge-fund-pleads-guilty-investment,https://vorplabs.com/ai-regulatory-updates/federal-enforcement#doj-tadrus
doj-joonko,DOJ,Ilit Raz / Joonko Diversity Inc.,United States v. Ilit Raz,2024-06-11,day,,,Securities fraud; wire fraud,,indicted,Indictment unsealed 2024-06-11. Criminal charges pending. Parallel SEC civil action.,Alleged $27M investment fraud.,DOJ charged the founder of AI hiring startup Joonko with securities fraud and wire fraud for allegedly defrauding investors by misrepresenting the company's customers and revenue.,AI-company investor fraud,investor-fraud,S.D.N.Y.,,https://www.justice.gov/usao-sdny/pr/founder-and-former-ceo-artificial-intelligence-company-charged-securities-fraud,https://vorplabs.com/ai-regulatory-updates/federal-enforcement#doj-joonko
doj-skael,DOJ,Baba Nadimpalli / SKAEL,United States v. Baba Nadimpalli,2024-09-23,day,2025-06-26,day,Securities fraud; wire fraud,,guilty-plea,Indictment unsealed 2024-09-23; guilty plea 2025-06-26.,Pleaded guilty to securities fraud and wire fraud.,DOJ charged the founder of AI automation startup SKAEL with defrauding investors by misleading them about the company's revenue and sales.,AI-company investor fraud,investor-fraud; revenue-fraud,,,https://www.justice.gov/usao-ndca/pr/founder-and-former-ceo-artificial-intelligence-start-skael-charged-securities-fraud; https://www.justice.gov/usao-ndca/pr/founder-and-former-ceo-artificial-intelligence-start-skael-pleads-guilty-securities,https://vorplabs.com/ai-regulatory-updates/federal-enforcement#doj-skael
doj-nate,DOJ,Albert Saniger / Nate Inc.,United States v. Albert Saniger,2025-04-09,day,,,Securities fraud; wire fraud,,indicted,Indictment announced 2025-04-09. Criminal charges pending. Parallel SEC action.,Alleged investor fraud.,DOJ charged the former CEO of AI shopping-app Nate with defrauding investors by making false statements about Nate's proprietary AI technology and operational capabilities.,AI-company investor fraud,investor-fraud,S.D.N.Y.,,https://www.justice.gov/usao-sdny/pr/tech-ceo-charged-artificial-intelligence-investment-fraud-scheme,https://vorplabs.com/ai-regulatory-updates/federal-enforcement#doj-nate
doj-invenia,DOJ,Matthew Derrick Hudson / Invenia Technical Computing,United States v. Matthew Hudson,2025-09-18,day,,,"Wire fraud, 18 U.S.C. Section 1343",,litigation-pending,Criminal complaint filed 2025-09-18 and unsealed 2025-09-24; released on bond pending trial. Current status needs docket verification.,Alleged over $100 million raised from investors through false documents and representations.,DOJ charged the former CEO of a Canadian AI and machine-learning energy-market company with investment fraud for allegedly defrauding U.S. investors through false claims about customers and operations.,AI-company investor fraud,investor-fraud,,,https://www.justice.gov/usao-ndca/pr/former-ceo-canadian-ai-company-charged-investment-fraud-scheme-targeting-us-investors,https://vorplabs.com/ai-regulatory-updates/federal-enforcement#doj-invenia
doj-ai-server-diversion,DOJ,Yih-Shyan Liaw / Ruei-Tsang Chang / Ting-Wei Sun,United States v. Liaw et al.,2026-03-19,day,,,Export Control Reform Act conspiracy; smuggling conspiracy; conspiracy to defraud U.S.,,indicted,Indictment unsealed 2026-03-19. Liaw and Sun arrested; Chang is a fugitive.,Charges only; alleged diversion of AI servers integrating controlled technology to China.,"DOJ charged three individuals with conspiring to unlawfully divert servers integrating controlled U.S. artificial intelligence technology to China, in violation of export controls.",AI technology export-control violation,export-controls,,,https://www.justice.gov/opa/pr/three-charged-conspiring-unlawfully-divert-cutting-edge-us-artificial-intelligence,https://vorplabs.com/ai-regulatory-updates/federal-enforcement#doj-ai-server-diversion
