# AI Model Deprecation Tracker
# Version: 2026.07.17
# As of: 2026-07-15
# License: CC BY 4.0, https://creativecommons.org/licenses/by/4.0/
# Citation: Vorp Labs, AI Model Deprecation Tracker (as of 2026-07-15), https://vorplabs.com/models/deprecations
# Source: https://vorplabs.com/models/deprecations
# Releases and checksums: https://vorplabs.com/datasets/model-deprecations/manifest.json
record_type,anchor,provider,subject,announced,effective,effective_precision,action_or_policy,provider_guide,source_url,last_checked,url
deprecation,dep-2026-07-24-deepseek,DeepSeek,Legacy model aliases deepseek-chat and deepseek-reasoner,2026-04-24,2026-07-24,day,Aliases currently map to deepseek-v4-flash non-thinking and thinking modes; move to explicit v4 model IDs before the cutoff.,https://vorplabs.com/models/deepseek-model-provider-operations,https://api-docs.deepseek.com/updates/,2026-07-15,https://vorplabs.com/models/deprecations#dep-2026-07-24-deepseek
deprecation,dep-2026-08-05-anthropic,Anthropic,claude-opus-4-1-20250805,2026-06-05,2026-08-05,day,Retirement; recommended replacement is claude-opus-4-8.,https://vorplabs.com/models/anthropic-claude-provider-operations,https://platform.claude.com/docs/en/about-claude/model-deprecations,2026-07-05,https://vorplabs.com/models/deprecations#dep-2026-08-05-anthropic
deprecation,dep-2026-08-01-groqcloud,GroqCloud,July and August 2026 model deprecations (free and developer tiers),,2026-08,month,Applies to free and developer tiers only; committed-spend enterprise contracts are exempt.,https://vorplabs.com/models/groqcloud-inference-provider-operations,https://console.groq.com/docs/deprecations,2026-07-04,https://vorplabs.com/models/deprecations#dep-2026-08-01-groqcloud
deprecation,dep-2026-09-30-mistral,Mistral,labs-leanstral-1-5,2026-06-30,2026-09-30,day,Retirement date was set at release; Labs models also carry a training-data exception.,https://vorplabs.com/models/mistral-model-provider-operations,https://docs.mistral.ai/resources/changelogs,2026-07-05,https://vorplabs.com/models/deprecations#dep-2026-09-30-mistral
deprecation,dep-2026-12-11-openai,OpenAI,"gpt-5-2025-08-07, gpt-5-mini-2025-08-07, gpt-5-nano-2025-08-07, gpt-5-pro-2025-10-06, o3-2025-04-16, o3-pro-2025-06-10",2026-06-11,2026-12-11,day,Removal from the API; migrate to current GPT-5.5/5.4 model IDs.,https://vorplabs.com/models/openai-model-provider-operations,https://developers.openai.com/api/docs/deprecations,2026-07-05,https://vorplabs.com/models/deprecations#dep-2026-12-11-openai
deprecation,dep-2027-05-07-google-gemini,Google Gemini,gemini-3.1-flash-lite,,2027-05-07,day,Earliest possible shutdown date per the deprecations table.,https://vorplabs.com/models/google-gemini-provider-operations,https://ai.google.dev/gemini-api/docs/deprecations,2026-07-05,https://vorplabs.com/models/deprecations#dep-2027-05-07-google-gemini
deprecation,dep-2026-06-25-google-gemini,Google Gemini,gemini-3.1-flash-image-preview and gemini-3-pro-image-preview,,2026-06-25,day,Shut down. Migrate image workloads to current model IDs.,https://vorplabs.com/models/google-gemini-provider-operations,https://ai.google.dev/gemini-api/docs/deprecations,2026-07-05,https://vorplabs.com/models/deprecations#dep-2026-06-25-google-gemini
deprecation,dep-2026-05-25-moonshot-kimi,Moonshot Kimi,kimi-k2 series,,2026-05-25,day,Discontinued and no longer maintained; kimi-latest was discontinued 2026-01-28.,https://vorplabs.com/models/kimi-moonshot-model-provider-operations,https://platform.kimi.ai/docs/models,2026-07-05,https://vorplabs.com/models/deprecations#dep-2026-05-25-moonshot-kimi
deprecation,dep-2026-05-15-xai,xAI,"grok-4-1-fast, grok-4-fast, grok-4-0709, grok-code-fast-1, grok-3, grok-imagine-image-pro",,2026-05-15,day,Retired; requests to retired slugs auto-redirect to grok-4.3 at grok-4.3 pricing. Pin current model IDs to avoid a silent swap.,https://vorplabs.com/models/xai-grok-model-provider-operations,https://docs.x.ai/developers/migration/may-15-retirement,2026-07-05,https://vorplabs.com/models/deprecations#dep-2026-05-15-xai
deprecation,dep-2026-04-04-cohere,Cohere,"embed-english-v2.0, embed-english-light-v2.0, embed-multilingual-v2.0, c4ai-aya-expanse-8b, c4ai-aya-vision-8b",,2026-04-04,day,Retired; recommended replacements include embed-v4.0 and current Command models.,https://vorplabs.com/models/cohere-model-provider-operations,https://docs.cohere.com/docs/deprecations,2026-07-05,https://vorplabs.com/models/deprecations#dep-2026-04-04-cohere
deprecation,dep-2026-03-09-google-gemini,Google Gemini,gemini-3-pro-preview,,2026-03-09,day,Shut down; migrate to gemini-3.1-pro-preview or a stable model.,https://vorplabs.com/models/google-gemini-provider-operations,https://ai.google.dev/gemini-api/docs/deprecations,2026-07-05,https://vorplabs.com/models/deprecations#dep-2026-03-09-google-gemini
deprecation,dep-2026-04-26-openai,OpenAI,Sora consumer web and app,,2026-04-26,day,"The consumer Sora product was discontinued; the Sora API remained documented and available past this date, so product and API lifecycles must be tracked separately.",https://vorplabs.com/models/openai-model-provider-operations,https://help.openai.com/en/articles/20001152-what-to-know-about-the-sora-discontinuation,2026-07-14,https://vorplabs.com/models/deprecations#dep-2026-04-26-openai
deprecation,dep-2026-09-24-openai,OpenAI,"Sora API (sora-2, sora-2-pro)",,2026-09-24,day,"Scheduled discontinuation of the Sora API; migrate video-generation workloads before the cutoff. Rights, retention, and provenance terms for this surface are recorded in the media rights registry.",https://vorplabs.com/models/openai-model-provider-operations,https://help.openai.com/en/articles/20001152-what-to-know-about-the-sora-discontinuation,2026-07-14,https://vorplabs.com/models/deprecations#dep-2026-09-24-openai
deprecation,dep-2026-06-30-google-gemini,Google Gemini,"veo-2.0-generate-001, veo-3.0-generate-001, veo-3.0-fast-generate-001",,2026-06-30,day,"Published shutdown date for the Veo 2 and Veo 3 video model IDs; the pricing page still presented the models after the date passed, so pin veo-3.1 IDs and automate alias checks.",https://vorplabs.com/models/google-gemini-provider-operations,https://ai.google.dev/gemini-api/docs/pricing,2026-07-14,https://vorplabs.com/models/deprecations#dep-2026-06-30-google-gemini
deprecation,dep-2026-06-01-google-gemini,Google Gemini,gemini-2.0-flash and gemini-2.0-flash-lite,,2026-06-01,day,"Deprecated and shut down; direct evidence that multimodal understanding models retire on short cycles, not only generation models.",https://vorplabs.com/models/google-gemini-provider-operations,https://ai.google.dev/gemini-api/docs/pricing,2026-07-14,https://vorplabs.com/models/deprecations#dep-2026-06-01-google-gemini
deprecation,dep-2025-06-13-twelvelabs,TwelveLabs,Marengo 2.6 and API v1.2,,2025-06-13,day,Deprecated; update to Marengo 2.7 and API v1.3. The Generate API rename and the Marengo 2.7 sunset are separate dated events tracked below.,https://vorplabs.com/models/media-rights#twelvelabs-video-understanding,https://docs.twelvelabs.io/docs/get-started/release-notes,2026-07-14,https://vorplabs.com/models/deprecations#dep-2025-06-13-twelvelabs
deprecation,dep-2025-07-30-twelvelabs,TwelveLabs,Generate API (renamed to Analyze),2025-06-04,2025-07-30,day,Compatibility window for the old Generate API method names ended; applications must call the renamed Analyze API methods.,https://vorplabs.com/models/media-rights#twelvelabs-video-understanding,https://docs.twelvelabs.io/docs/get-started/release-notes,2026-07-14,https://vorplabs.com/models/deprecations#dep-2025-07-30-twelvelabs
deprecation,dep-2026-03-30-twelvelabs,TwelveLabs,Marengo 2.7,2026-02-28,2026-03-30,day,"Sunset: indexing, search, and embedding retrieval on 2.7 stopped working. Marengo 2.7 embeddings are not compatible with 3.0, so migration requires reindexing and regenerating all embeddings.",https://vorplabs.com/models/media-rights#twelvelabs-video-understanding,https://docs.twelvelabs.io/docs/get-started/release-notes,2026-07-14,https://vorplabs.com/models/deprecations#dep-2026-03-30-twelvelabs
deprecation,dep-2026-07-30-runway,Runway,gen4_aleph,,2026-07-30,day,Official sunset of Gen-4 Aleph; Runway recommends upgrading to Aleph 2.0 (aleph2).,https://vorplabs.com/models/media-rights#runway-api,https://docs.dev.runwayml.com/guides/models/,2026-07-14,https://vorplabs.com/models/deprecations#dep-2026-07-30-runway
deprecation,dep-2026-08-17-google-gemini,Google Gemini,"imagen-4.0-generate-001, imagen-4.0-ultra-generate-001, imagen-4.0-fast-generate-001",,2026-08-17,day,Published shutdown date for the Imagen 4 image model IDs; Google recommends migrating to Gemini 2.5 Flash Image.,https://vorplabs.com/models/google-gemini-provider-operations,https://ai.google.dev/gemini-api/docs/pricing,2026-07-14,https://vorplabs.com/models/deprecations#dep-2026-08-17-google-gemini
notice_policy,policy-mistral,Mistral,,,,,"Maintains a legacy-models table with per-model deprecation dates, retirement dates, and recommended alternatives; retirements land in dated waves.",https://vorplabs.com/models/mistral-model-provider-operations,https://docs.mistral.ai/models/overview,2026-07-15,https://vorplabs.com/models/deprecations#policy-mistral
notice_policy,policy-deepseek,DeepSeek,,,,,"Announces changes in a dated changelog; stable aliases are re-pointed to new models in place, temporary comparison endpoints carry explicit expiry timestamps, and alias retirements are announced with a cutoff date.",https://vorplabs.com/models/deepseek-model-provider-operations,https://api-docs.deepseek.com/updates/,2026-07-15,https://vorplabs.com/models/deprecations#policy-deepseek
notice_policy,policy-moonshot-kimi,Moonshot Kimi,,,,,Marks discontinued models with dates and a migration target on the official model list; discontinued slugs can remain visible on the page after their date.,https://vorplabs.com/models/kimi-moonshot-model-provider-operations,https://platform.kimi.ai/docs/models,2026-07-15,https://vorplabs.com/models/deprecations#policy-moonshot-kimi
notice_policy,policy-z-ai-zhipu-glm-,Z.ai (Zhipu GLM),,,,,Publishes an upcoming-deprecation table with per-model dates and says deprecated model codes automatically route to newer models; a past date alone does not independently confirm shutdown behavior.,https://vorplabs.com/models/z-ai-glm-model-provider-operations,https://docs.bigmodel.cn/cn/guide/start/model-overview,2026-07-15,https://vorplabs.com/models/deprecations#policy-z-ai-zhipu-glm-
notice_policy,policy-elevenlabs,ElevenLabs,,,,,"Lists deprecated models and removal dates on the models page; the breaking-changes policy promises outreach before endpoint removal but states no fixed minimum notice period, and removal dates have moved.",https://vorplabs.com/models/media-rights#elevenlabs-tts-api,https://elevenlabs.io/docs/eleven-api/resources/breaking-changes-policy,2026-07-15,https://vorplabs.com/models/deprecations#policy-elevenlabs
notice_policy,policy-runway,Runway,,,,,"Lifecycle disclosure is model-specific and inconsistent: gen4_aleph carries a dated sunset in the catalog, other models have carried deprecated badges without dates, and gen3a_turbo was removed from the catalog entirely. A deprecated badge alone does not establish a migration window.",https://vorplabs.com/models/media-rights#runway-api,https://docs.dev.runwayml.com/guides/models/,2026-07-14,https://vorplabs.com/models/deprecations#policy-runway
notice_policy,policy-twelvelabs,TwelveLabs,,,,,"Publishes deprecations in release notes with compatibility deadlines; major model upgrades can require regenerated, incompatible embeddings, so lifecycle cost includes reindexing rather than only a model-string change.",https://vorplabs.com/models/media-rights#twelvelabs-video-understanding,https://docs.twelvelabs.io/docs/get-started/release-notes,2026-07-14,https://vorplabs.com/models/deprecations#policy-twelvelabs
notice_policy,policy-luma,Luma,,,,,Current Ray API pages coexist with legacy model documentation and a migration guide; documentation drift can leave integrations pinned to superseded model IDs after the commercial product moves on.,https://vorplabs.com/models/media-rights#luma-dream-machine-api,https://lumalabs.ai/api,2026-07-14,https://vorplabs.com/models/deprecations#policy-luma
notice_policy,policy-openai,OpenAI,,,,,Deprecations are announced on a dated page with removal dates; preview models can retire on much shorter notice.,https://vorplabs.com/models/openai-model-provider-operations,https://developers.openai.com/api/docs/deprecations,2026-07-05,https://vorplabs.com/models/deprecations#policy-openai
notice_policy,policy-anthropic,Anthropic,,,,,"Deprecations are dated with retirement dates and recommended replacements; partner platforms (Bedrock, Vertex) set their own retirement schedules.",https://vorplabs.com/models/anthropic-claude-provider-operations,https://platform.claude.com/docs/en/about-claude/model-deprecations,2026-07-05,https://vorplabs.com/models/deprecations#policy-anthropic
notice_policy,policy-google-gemini,Google Gemini,,,,,Stable models get published earliest-shutdown dates; preview models can be deprecated with at least two weeks notice; -latest aliases hot-swap with two weeks notice.,https://vorplabs.com/models/google-gemini-provider-operations,https://ai.google.dev/gemini-api/docs/deprecations,2026-07-05,https://vorplabs.com/models/deprecations#policy-google-gemini
notice_policy,policy-xai,xAI,,,,,Retired model slugs automatically redirect to the current model rather than erroring; behavior and pricing change silently unless IDs are pinned.,https://vorplabs.com/models/xai-grok-model-provider-operations,https://docs.x.ai/developers/migration/may-15-retirement,2026-07-05,https://vorplabs.com/models/deprecations#policy-xai
notice_policy,policy-cohere,Cohere,,,,,Deprecated means closed to new customers; existing users (any use within 90 days of the announcement) keep access until the retirement date.,https://vorplabs.com/models/cohere-model-provider-operations,https://docs.cohere.com/docs/deprecations,2026-07-05,https://vorplabs.com/models/deprecations#policy-cohere
notice_policy,policy-groqcloud,GroqCloud,,,,,"Production models get email notice, a transition period, and a recommended replacement; deprecation exposure depends on contract tier, and preview models can be discontinued at short notice.",https://vorplabs.com/models/groqcloud-inference-provider-operations,https://console.groq.com/docs/deprecations,2026-07-04,https://vorplabs.com/models/deprecations#policy-groqcloud
notice_policy,policy-together-ai,Together AI,,,,,"Three-day notice for compatible same-lineage redirects, two-week timelines for material changes, and under 24 hours for preview models after 30 days.",https://vorplabs.com/models/together-ai-inference-provider-operations,https://docs.together.ai/docs/deprecations,2026-07-04,https://vorplabs.com/models/deprecations#policy-together-ai
notice_policy,policy-fireworks-ai,Fireworks AI,,,,,At least two weeks advance notice before removing any serverless model.,https://vorplabs.com/models/fireworks-ai-inference-provider-operations,https://docs.fireworks.ai/serverless/overview,2026-07-04,https://vorplabs.com/models/deprecations#policy-fireworks-ai
