# US Public-Sector AI Procurement Clause and Policy Inventory
# Version: 2026.07.23
# As of: 2026-07-23
# License: CC BY 4.0, https://creativecommons.org/licenses/by/4.0/
# Citation: Vorp Labs, US Public-Sector AI Procurement Clause and Policy Inventory (as of 2026-07-23), https://vorplabs.com/ai-regulatory-updates/us-ai-procurement
# Source: https://vorplabs.com/ai-regulatory-updates/us-ai-procurement
# Releases and checksums: https://vorplabs.com/datasets/us-ai-procurement/manifest.json
anchor,jurisdiction_level,jurisdiction_or_agency,instrument,instrument_title,instrument_number,fr_citation,fr_document_number,status,legal_effect,implementation_status,ai_scope,key_obligations,obligation_tags,flowdown,event_date,effective_date,deadline_label,deadline_date,sunset_date,rescinds,rescinded_by,source_url,source_title,source_type,verification,notes,url
eo-14409,federal,White House,memo,"Executive Order 14409, Promoting Advanced Artificial Intelligence Innovation and Security",Executive Order 14409,91 FR 34565,,operative,mandatory_policy,,ai_system,"Advanced-AI innovation, cyber defense, system hardening, and protection of US AI intellectual property.",ip_rights,unknown,2026-06-02,2026-06-02,,,,,,https://www.whitehouse.gov/presidential-actions/2026/06/promoting-advanced-artificial-intelligence-innovation-and-security/,Executive Order 14409 (whitehouse.gov),white_house,verified,"No direct acquisition clause mandate was identified in the fetched text. Published at 91 FR 34565 on June 5, 2026.",https://vorplabs.com/ai-regulatory-updates/us-ai-procurement#eo-14409
nspm-11,federal,White House national-security enterprise,memo,National Security Presidential Memorandum 11 (NSPM-11),NSPM-11,,,operative,mandatory_policy,,national_security_ai,"Anti-disable, anti-degrade, and anti-unapproved-modification clauses or equivalent controls; reliability, robustness, steerability, controllability; testing and interoperability; contract termination and waivers; multi-vendor procurement updates.",predeployment_testing; interoperability; termination,unknown,2026-06-05,,120-day procurement actions due,2026-10-03,,,,https://www.whitehouse.gov/presidential-actions/2026/06/national-security-presidential-memorandum-nspm-11/,NSPM-11 (whitehouse.gov),white_house,verified,"90-day actions were due September 3, 2026.",https://vorplabs.com/ai-regulatory-updates/us-ai-procurement#nspm-11
gao-rec-dod,federal,Department of Defense,report,GAO-26-107859 Recommendation 1: systematically collect AI-acquisition lessons learned,GAO-26-107859,,,final,oversight_recommendation,open,ai_system,"Update policy to systematically collect AI-acquisition lessons, including contract-clause practices, and submit them to GSA's repository.",lessons_learned; repository_sharing,no,2026-04-13,,,,,,,https://www.gao.gov/products/gao-26-107859,"GAO-26-107859, Artificial Intelligence Acquisitions: Agencies Should Collect and Apply Lessons Learned to Improve Future Procurements",official_report,verified,,https://vorplabs.com/ai-regulatory-updates/us-ai-procurement#gao-rec-dod
gao-rec-dhs,federal,Department of Homeland Security,report,GAO-26-107859 Recommendation 2: systematically collect AI-acquisition lessons learned,GAO-26-107859,,,final,oversight_recommendation,open,ai_system,"Update policy to systematically collect AI-acquisition lessons, including contract-clause practices, and submit them to GSA's repository.",lessons_learned; repository_sharing,no,2026-04-13,,,,,,,https://www.gao.gov/products/gao-26-107859,"GAO-26-107859, Artificial Intelligence Acquisitions: Agencies Should Collect and Apply Lessons Learned to Improve Future Procurements",official_report,verified,,https://vorplabs.com/ai-regulatory-updates/us-ai-procurement#gao-rec-dhs
gao-rec-gsa,federal,General Services Administration,report,GAO-26-107859 Recommendation 3: systematically collect AI-acquisition lessons learned,GAO-26-107859,,,final,oversight_recommendation,open,ai_system,"Update policy to systematically collect AI-acquisition lessons, including contract-clause practices, and submit them to GSA's repository.",lessons_learned; repository_sharing,no,2026-04-13,,,,,,,https://www.gao.gov/products/gao-26-107859,"GAO-26-107859, Artificial Intelligence Acquisitions: Agencies Should Collect and Apply Lessons Learned to Improve Future Procurements",official_report,verified,,https://vorplabs.com/ai-regulatory-updates/us-ai-procurement#gao-rec-gsa
gao-rec-va,federal,Department of Veterans Affairs,report,GAO-26-107859 Recommendation 4: systematically collect AI-acquisition lessons learned,GAO-26-107859,,,final,oversight_recommendation,open,ai_system,"Update policy to systematically collect AI-acquisition lessons, including contract-clause practices, and submit them to GSA's repository.",lessons_learned; repository_sharing,no,2026-04-13,,,,,,,https://www.gao.gov/products/gao-26-107859,"GAO-26-107859, Artificial Intelligence Acquisitions: Agencies Should Collect and Apply Lessons Learned to Improve Future Procurements",official_report,verified,,https://vorplabs.com/ai-regulatory-updates/us-ai-procurement#gao-rec-va
gsa-cio-2185-1c,federal,General Services Administration,guide,"GSA CIO 2185.1C, Accelerating Responsible Use of Artificial Intelligence at GSA",CIO 2185.1C,,,operative,internal_policy,,ai_system,"Internal GSA assessment, procurement, approval, monitoring, transparency, lifecycle, risk, privacy, security, IP, interoperability, and American-made-AI governance.",continuous_monitoring; privacy; ip_rights; interoperability; american_made,no,2026-03-11,,,,2029-03-30,,,https://www.gsa.gov/directives-library/accelerating-responsible-use-of-artificial-intelligence-at-gsa,GSA directives library: CIO 2185.1C,agency_policy,verified,"Active through March 30, 2029 unless changed.",https://vorplabs.com/ai-regulatory-updates/us-ai-procurement#gsa-cio-2185-1c
nasa-pic-25-03a,federal,NASA,guide,"PIC 25-03A, Artificial Intelligence Acquisition Guidance",PIC 25-03A,,,operative,internal_policy,,ai_system,"Contracting officers must include the AI Acquisitions (SEP 2025) requirement statement in all new solicitations, contracts, and orders acquiring covered AI, and add it to extended or amended existing ones. The statement restricts use of NASA data for AI training without written authorization, prohibits training public or commercial models on nonpublic NASA data absent approval, adds vendor lock-in protections and post-contract data and model rights, requires advance notice and OCIO approval for new AI features or model updates, and requires CAIRIA risk-and-impact-assessment reporting with subcontractor flowdown.",training_prohibition; data_use_restriction; data_ownership; vendor_lock_in; change_notification; impact_assessment; ai_disclosure; subcontractor_flowdown,yes,2026-02-11,2025-09-30,,,,,,https://www.hq.nasa.gov/office/procurement/regs/pic/pic25-03a.pdf,"NASA PIC 25-03A (updated February 11, 2026)",agency_policy,verified,"Initially issued September 30, 2025 and updated February 11, 2026; in effect until the NASA OCIO AI Guide is issued. No NFS clause text changes: obligations enter contracts through PWS, SOW, or SOO requirement statements. A companion AI-use-during-performance disclosure statement is phased in pending NASA parameter definitions.",https://vorplabs.com/ai-regulatory-updates/us-ai-procurement#nasa-pic-25-03a
nasa-pic-26-02,federal,NASA,guide,"PIC 26-02, Artificial Intelligence Large Language Models Acquisition Guidance",PIC 26-02,,,operative,internal_policy,,llm,"Contracting officers must include the LLM Transparency Requirements (MAR 2026) statement and LLM Transparency DRD in all new NASA solicitations, contracts, and orders acquiring LLMs or other covered AI models, and add them to extended or amended existing ones. The DRD is due with the proposal and feeds the responsibility determination under FAR 9.104-1; contractors must comply with the Unbiased AI Principles and operate a mechanism to receive and remediate end-user reports. The transparency requirements are material contract terms, and noncompliance is grounds for withholding payment and termination for cause or default.",truthfulness; ideological_neutrality; model_documentation; ai_disclosure; incident_reporting; termination,unknown,2026-03-25,2026-03-25,,,,,,https://www.hq.nasa.gov/office/procurement/regs/pic/pic26-02.pdf,"NASA PIC 26-02 (March 25, 2026)",agency_policy,verified,Implements OMB M-26-04; effective as dated and in effect until the NASA OCIO AI Guide is issued. No NFS clause text changes: requirements enter contracts through requirement statements and the LLM Transparency DRD.,https://vorplabs.com/ai-regulatory-updates/us-ai-procurement#nasa-pic-26-02
doe-al-2026-05,federal,Department of Energy,memo,"Acquisition Letter 2026-05, Unbiased AI Principles (transmitted by Policy Flash 2026-45)",AL 2026-05,,,operative,mandatory_policy,,llm; ai_system,"Department-wide procurement policy implementing OMB M-26-04. Requiring activities complete an AI impact assessment before solicitation; solicitations must state the AI use case, performance thresholds, bias testing, model documentation, data provenance, and lifecycle-management requirements. New solicitations, contracts, and modifications acquiring LLMs must incorporate the Ensuring Unbiased AI Principles (APR 2026) clause, whose requirements are material to eligibility and payment, flow down to all tiers, and carry cure, withholding, and termination remedies.",truthfulness; ideological_neutrality; bias_testing; model_documentation; impact_assessment; incident_reporting; change_notification; subcontractor_flowdown; termination; training_prohibition,yes,2026-05-08,2026-05-08,,,,,,https://www.energy.gov/management/pf-2026-45-implementation-omb-memo-m-26-04-increasing-public-trust-artificial,"DOE Policy Flash 2026-45, transmitting Acquisition Letter 2026-05",agency_policy,verified,"The Policy Flash transmits the operative Acquisition Letter PDF (AL 2026-05, May 8, 2026), effective immediately until superseded. Excludes management and operating contracts for now, with separate guidance forthcoming. DOE notes that policy flashes are not themselves statements of policy; the Acquisition Letter is the operative document.",https://vorplabs.com/ai-regulatory-updates/us-ai-procurement#doe-al-2026-05
ca-scm-23-03,state,California Department of General Services,guide,"State Contracting Manual Chapter 23.03, generative AI contract terms",SCM 23.03,,,operative,mandatory_policy,,generative_ai,All acquisition types must include GenAI terms; current model provisions govern new contracts and specified amendments.,ai_disclosure,unknown,2025-02-20,2025-03-20,,,,,,https://www.dgs.ca.gov/PD/Resources/SCM/TOC/23/2303,California DGS State Contracting Manual 23.03,state_manual,verified,,https://vorplabs.com/ai-regulatory-updates/us-ai-procurement#ca-scm-23-03
ca-sam-4986-9,state,California state entities,clause,"State Administrative Manual 4986.9, GenAI disclosure and notification language",SAM 4986.9,,,operative,mandatory_policy,,generative_ai,"GenAI disclosure and notification language for solicitations and contracts; notification when GenAI is a deliverable or materially affects systems, risk, or performance; pre-award risk assessment.",ai_disclosure; impact_assessment,unknown,2025-02-20,2025-02-20,,,,,,https://www.dgs.ca.gov/Resources/SAM/TOC/4900/4986-9/02-20-2025,California State Administrative Manual 4986.9,state_manual,verified,,https://vorplabs.com/ai-regulatory-updates/us-ai-procurement#ca-sam-4986-9
ca-judicial-genai,state,California Judicial Branch,clause,Sample generative AI contract provisions,Judicial Branch GenAI provisions,,,final,advisory_guidance,,generative_ai,Definitions and adaptable terms for judicial-branch agreements; expressly advisory and subject to contract-specific edits.,,no,2025-02-01,,,,,,,https://courts.ca.gov/genai-contract-provisions,California Courts: GenAI contract provisions,state_manual,verified,Issued February 2025; current page checked on the tracker date.,https://vorplabs.com/ai-regulatory-updates/us-ai-procurement#ca-judicial-genai
